Year,Nationality code,Sex,Age group,Immigrant count,Predictions_rnn_agg,Lower limit_agg,Upper limit_agg
2008,GBR,Both,55 - 64,6290,5338,4547,6169
2008,GBR,Both,65+,3146,3022,2704,4059
2008,GBR,Both,All,23758,22715,20429,26311
2008,GBR,Females,0 - 14,1365,1064,946,1371
2008,GBR,Females,15 - 24,813,891,804,1204
2008,GBR,Females,25 - 34,1399,1440,1383,1875
2008,GBR,Both,35 - 44,3391,3289,2762,3589
2008,USA,Females,0 - 14,376,304,268,390
2008,USA,Females,15 - 24,466,530,472,700
2008,USA,Females,25 - 34,471,500,421,607
2008,VEN,Females,0 - 14,604,592,510,787
2008,VEN,Females,15 - 24,932,1097,792,1298
2008,VEN,Females,25 - 34,1690,1600,1378,2079
2008,VEN,Females,35 - 44,732,763,595,901
2008,VEN,Females,45 - 54,478,450,361,526
2008,VEN,Females,55 - 64,302,295,250,399
2008,VEN,Females,65+,165,201,150,232
2008,VEN,Both,All,8693,9159,7607,10247
2008,VEN,Females,All,4905,4665,4326,6026
2008,VEN,Males,15 - 24,864,858,608,913
2008,VEN,Males,25 - 34,1384,1254,1074,1524
2008,VEN,Males,35 - 44,526,513,423,668
2008,VEN,Males,45 - 54,258,247,209,307
2008,VEN,Males,55 - 64,120,115,106,170
2008,VEN,Males,65+,73,68,63,103
2008,VEN,Males,All,3788,3780,3172,4488
2008,VEN,Males,0 - 14,561,504,459,714
2008,VEN,Both,65+,238,253,216,325
2008,VEN,Both,55 - 64,423,439,354,587
2008,VEN,Both,45 - 54,737,801,602,848
2008,USA,Females,35 - 44,228,210,172,272
2008,USA,Females,45 - 54,131,134,117,168
2008,USA,Females,55 - 64,109,106,87,131
2008,USA,Females,65+,90,88,70,105
2008,USA,Females,All,1873,2056,1750,2513
2008,USA,Males,0 - 14,389,328,288,449
2008,USA,Males,15 - 24,381,468,381,605
2008,USA,Males,25 - 34,358,458,361,524
2008,USA,Males,35 - 44,285,228,185,280
2008,USA,Males,45 - 54,167,146,121,185
2008,USA,Males,55 - 64,118,108,88,139
2008,USA,Males,65+,115,80,72,114
2008,USA,Males,All,1816,1885,1622,2271
2008,VEN,Both,0 - 14,1168,1057,971,1484
2008,VEN,Both,15 - 24,1796,2017,1474,2088
2008,VEN,Both,25 - 34,3074,3022,2514,3474
2008,VEN,Both,35 - 44,1257,1392,1090,1565
2008,UKR,Males,25 - 34,713,687,585,835
2008,UKR,Males,15 - 24,720,688,553,835
2008,UKR,Males,0 - 14,668,505,457,701
2008,UKR,Females,All,3879,4201,3841,5240
2008,RUS,Females,15 - 24,724,714,531,781
2008,RUS,Females,25 - 34,1076,1046,770,1104
2008,RUS,Females,35 - 44,582,676,570,858
2008,RUS,Females,45 - 54,511,496,400,576
2008,RUS,Females,55 - 64,238,237,217,335
2008,RUS,Females,65+,99,137,87,156
2008,RUS,Females,All,3790,4041,3474,4909
2008,RUS,Males,0 - 14,661,623,460,807
2008,RUS,Males,15 - 24,301,398,239,412
2008,RUS,Males,25 - 34,273,410,298,498
2008,RUS,Males,35 - 44,351,400,301,489
2008,RUS,Males,45 - 54,247,254,200,308
2008,RUS,Males,55 - 64,91,95,84,138
2008,RUS,Males,65+,36,40,32,57
2008,RUS,Males,All,1962,2063,1808,2706
2008,MAR,Females,55 - 64,514,561,553,932
2008,UKR,Both,0 - 14,1281,1043,1007,1399
2008,UKR,Both,15 - 24,1626,1565,1473,2023
2008,UKR,Both,25 - 34,1632,1794,1588,2174
2008,UKR,Both,35 - 44,1131,1347,1028,1438
2008,UKR,Both,45 - 54,805,800,724,1006
2008,UKR,Both,55 - 64,279,371,279,443
2008,UKR,Both,65+,110,127,104,160
2008,UKR,Females,0 - 14,611,519,522,749
2008,UKR,Females,15 - 24,907,912,880,1222
2008,UKR,Females,25 - 34,919,991,941,1320
2008,UKR,Females,35 - 44,633,661,593,880
2008,UKR,Females,45 - 54,528,549,455,643
2008,UKR,Females,55 - 64,199,298,197,323
2008,UKR,Females,65+,82,109,74,121
2008,UKR,Both,All,6863,7432,6325,8888
2008,MAR,Females,45 - 54,1376,1462,1260,1812
2008,RUS,Both,55 - 64,329,350,314,489
2008,MAR,Females,25 - 34,9527,9701,7669,10666
2008,CHN,Both,All,20080,19803,14342,22427
2008,CHN,Females,0 - 14,1853,1914,1548,2378
2008,CHN,Females,15 - 24,2482,3021,2418,3857
2008,CHN,Females,25 - 34,2715,2464,2026,2986
2008,CHN,Females,35 - 44,1963,1784,1324,2004
2008,CHN,Females,45 - 54,458,633,474,788
2008,CHN,Females,55 - 64,202,225,163,308
2008,CHN,Both,65+,255,235,154,317
2008,CHN,Females,65+,111,122,84,180
2008,CHN,Males,0 - 14,2213,2223,1729,2717
2008,CHN,Males,15 - 24,2536,2765,2199,3266
2008,CHN,Males,25 - 34,2691,2230,1776,2717
2008,CHN,Males,35 - 44,2074,1506,1223,1980
2008,CHN,Males,45 - 54,506,542,456,680
2008,CHN,Males,55 - 64,131,187,132,234
2008,CHN,Males,65+,144,92,63,138
2008,CHN,Females,All,9785,11753,8010,11579
2008,CHN,Males,All,10295,10440,7106,11169
2008,CHN,Both,55 - 64,333,399,314,550
2008,CHN,Both,35 - 44,4037,3161,2634,3905
2008,BGR,Females,35 - 44,920,824,791,1134
2008,BGR,Females,45 - 54,654,641,539,785
2008,BGR,Females,55 - 64,322,340,263,429
2008,BGR,Females,65+,115,137,108,198
2008,BGR,Females,All,5373,5516,4829,6566
2008,BGR,Males,0 - 14,927,850,787,1156
2008,BGR,Males,15 - 24,1158,1403,1052,1556
2008,CHN,Both,45 - 54,965,1152,951,1445
2008,BGR,Males,25 - 34,1415,1457,1195,1726
2008,BGR,Males,45 - 54,683,593,518,763
2008,BGR,Males,55 - 64,206,236,187,301
2008,BGR,Males,65+,44,67,58,113
2008,BGR,Males,All,5394,5389,4880,6695
2008,CHN,Both,0 - 14,4067,4228,3233,4940
2008,CHN,Both,15 - 24,5018,5688,4554,6937
2008,CHN,Both,25 - 34,5405,4565,3784,5614
2008,BGR,Males,35 - 44,962,1073,854,1299
2008,COL,Both,0 - 14,6580,5923,5140,7304
2008,COL,Both,15 - 24,8693,8411,6697,9111
2008,COL,Both,25 - 34,10344,11118,8509,11367
2008,CUB,Both,0 - 14,890,1039,793,1152
2008,CUB,Both,15 - 24,1628,1615,1292,1854
2008,CUB,Both,25 - 34,2275,2114,1729,2379
2008,CUB,Both,35 - 44,2073,1954,1379,1992
2008,CUB,Both,45 - 54,978,1210,882,1286
2008,CUB,Both,55 - 64,660,666,483,708
2008,CUB,Both,65+,407,448,325,473
2008,COL,Males,All,17089,14711,11150,16139
2008,CUB,Both,All,8911,8398,6930,9770
2008,CUB,Females,15 - 24,997,952,699,1086
2008,CUB,Females,25 - 34,1194,1081,902,1346
2008,CUB,Females,35 - 44,1002,929,715,1037
2008,CUB,Females,45 - 54,534,630,483,720
2008,CUB,Females,55 - 64,408,367,299,459
2008,CUB,Females,65+,261,270,212,318
2008,CUB,Females,All,4817,4479,3828,5680
2008,CUB,Females,0 - 14,419,522,406,595
2008,COL,Males,65+,115,115,94,162
2008,COL,Males,55 - 64,244,246,202,301
2008,COL,Males,45 - 54,1173,955,681,1092
2008,COL,Both,35 - 44,6416,6036,4351,6080
2008,COL,Both,45 - 54,2832,2729,1904,2773
2008,COL,Both,55 - 64,760,721,698,1024
2008,COL,Both,65+,416,404,348,562
2008,COL,Both,All,36040,33984,26218,36703
2008,COL,Females,0 - 14,3198,2976,2724,3906
2008,COL,Females,15 - 24,4386,4355,3793,5233
2008,COL,Females,25 - 34,5471,5900,4789,6572
2008,COL,Females,35 - 44,3420,3180,2467,3495
2008,COL,Females,45 - 54,1660,1462,1177,1711
2008,COL,Females,55 - 64,515,481,486,714
2008,COL,Females,65+,301,309,255,421
2008,COL,Females,All,18951,20676,15166,21998
2008,COL,Males,0 - 14,3381,2733,2419,3705
2008,COL,Males,15 - 24,4307,3634,2852,4264
2008,COL,Males,25 - 34,4873,4594,3538,5013
2008,COL,Males,35 - 44,2996,2326,1780,2708
2008,BGR,Females,25 - 34,1279,1264,1083,1654
2008,BGR,Females,15 - 24,1256,1367,1094,1613
2008,BGR,Females,0 - 14,827,822,702,1024
2008,BGR,Both,All,10766,10956,9567,12945
2008,DZA,Males,65+,34,49,35,67
2008,DZA,Males,All,3557,4205,2920,4093
2008,ARG,Both,0 - 14,2071,1844,1416,2099
2008,ARG,Both,15 - 24,2485,2027,1632,2418
2008,ARG,Both,25 - 34,4664,3535,3188,4576
2008,ARG,Both,35 - 44,1818,2017,1515,2089
2008,ARG,Both,45 - 54,1061,859,763,1086
2008,DZA,Males,55 - 64,108,109,91,153
2008,ARG,Both,55 - 64,729,576,526,777
2008,ARG,Both,All,13363,12321,10262,14078
2008,ARG,Females,0 - 14,1012,918,682,1050
2008,ARG,Females,15 - 24,1264,1135,844,1300
2008,ARG,Females,25 - 34,2213,1981,1650,2378
2008,ARG,Females,35 - 44,860,1054,741,1073
2008,ARG,Females,45 - 54,602,447,400,585
2008,ARG,Females,55 - 64,452,299,313,485
2008,ARG,Both,65+,531,483,464,693
2008,DZA,Males,45 - 54,196,230,208,345
2008,DZA,Males,35 - 44,625,529,474,778
2008,DZA,Males,25 - 34,1464,1255,848,1398
2008,MAR,Females,35 - 44,4337,3689,3306,4728
2008,DZA,Both,25 - 34,2151,1968,1342,2059
2008,DZA,Both,35 - 44,888,851,717,1146
2008,DZA,Both,45 - 54,313,356,338,534
2008,DZA,Both,55 - 64,185,174,171,276
