Year,Nationality code,Sex,Age group,Immigrant count,Prediction_rn_noagg,Lower limit_noagg,Upper limit_noagg
2008,FRA,Females,65+,263,477,310,511
2008,FRA,Males,15 - 24,784,821,748,1130
2008,FRA,Males,25 - 34,1408,1336,1099,1663
2008,FRA,Males,35 - 44,772,725,664,987
2008,FRA,Males,45 - 54,391,521,404,639
2008,FRA,Males,55 - 64,372,485,374,556
2008,FRA,Males,65+,288,361,283,462
2008,ECU,Females,25 - 34,3051,3782,2555,4026
2008,FRA,Males,0 - 14,588,563,538,821
2008,ECU,Females,55 - 64,287,266,179,370
2008,ECU,Females,65+,89,89,87,184
2008,ECU,Males,0 - 14,5258,3010,1753,3394
2008,ECU,Males,15 - 24,5467,3231,2206,4367
2008,ECU,Males,25 - 34,3342,2938,2251,3774
2008,ECU,Males,35 - 44,1800,1499,1062,1736
2008,ECU,Females,45 - 54,839,805,555,967
2008,ECU,Males,55 - 64,191,134,95,192
2008,ECU,Males,65+,54,53,42,89
2008,ECU,Males,45 - 54,723,628,416,730
2009,PER,Males,35 - 44,963,991,733,1265
2009,PER,Males,45 - 54,360,460,301,524
2009,PER,Males,55 - 64,128,127,91,162
2009,PER,Males,65+,169,106,73,138
2009,PRT,Females,25 - 34,844,831,761,1057
2009,PRT,Females,0 - 14,409,384,318,500
2009,PRT,Females,15 - 24,715,667,551,803
2009,PER,Males,25 - 34,1666,1718,1399,2302
2009,PER,Males,15 - 24,1132,1227,998,1541
2009,PER,Females,0 - 14,1389,1237,997,1493
2009,PRT,Females,35 - 44,425,491,414,569
2009,PER,Males,0 - 14,1441,1254,1010,1484
2009,PER,Females,15 - 24,1477,1439,1183,1762
2009,PER,Females,25 - 34,2496,2101,1922,2717
2009,PER,Females,35 - 44,1334,1123,1037,1554
2009,PER,Females,45 - 54,594,638,494,779
2009,PER,Females,55 - 64,272,239,197,334
2009,PER,Females,65+,243,210,150,263
2009,PRT,Females,45 - 54,281,251,214,320
2009,MAR,Females,55 - 64,505,473,408,634
2009,PRT,Females,65+,134,105,83,129
2009,ROU,Females,45 - 54,2267,2484,1608,2573
2009,ROU,Females,55 - 64,1139,1062,777,1364
2009,ROU,Females,65+,375,367,285,481
2009,ROU,Males,0 - 14,3185,3983,3018,4388
2009,ROU,Males,15 - 24,6466,5956,4888,7632
2009,ROU,Males,25 - 34,5300,5547,4611,6573
2009,ROU,Females,35 - 44,3471,3780,2961,4245
2009,ROU,Males,35 - 44,2985,3551,3003,4252
2009,ROU,Males,55 - 64,629,655,501,815
2009,ROU,Males,65+,174,170,129,226
2009,ROU,Males,45 - 54,1515,1795,1379,2046
2009,ROU,Females,25 - 34,4916,6221,4992,6883
2009,ROU,Females,15 - 24,8434,8271,5879,8789
2009,ROU,Females,0 - 14,3220,3816,3110,4315
2009,PRT,Males,0 - 14,433,561,434,630
2009,PRT,Males,15 - 24,742,699,612,938
2009,PRT,Males,25 - 34,1533,1223,1099,1623
2009,PRT,Males,35 - 44,1196,1039,828,1266
2009,PRT,Males,45 - 54,691,495,416,649
2009,PRT,Males,55 - 64,253,218,168,250
2009,PRT,Males,65+,113,95,71,109
2009,PRT,Females,55 - 64,116,139,113,172
2009,PRY,Males,65+,8,12,9,17
2009,MAR,Females,65+,411,368,259,431
2009,PRY,Males,45 - 54,137,144,103,171
2009,NIC,Females,35 - 44,449,458,336,551
2009,NIC,Females,45 - 54,162,193,107,181
2009,NIC,Females,55 - 64,24,36,23,43
2009,NIC,Females,65+,4,5,4,11
2009,NIC,Males,0 - 14,80,105,70,154
2009,NIC,Males,15 - 24,118,170,134,217
2009,NIC,Females,25 - 34,756,878,685,1088
2009,NIC,Males,25 - 34,180,221,179,281
2009,NIC,Males,45 - 54,22,33,16,29
2009,NIC,Males,55 - 64,3,4,3,7
2009,NIC,Males,65+,2,1,1,2
2009,NIC,Males,35 - 44,74,90,70,112
2009,NIC,Females,15 - 24,390,480,428,664
2009,NIC,Females,0 - 14,88,129,94,228
2009,MAR,Males,0 - 14,4751,3855,2719,4191
2009,MAR,Males,15 - 24,5410,5200,4179,6582
2009,MAR,Males,25 - 34,6806,6681,5071,8040
2009,MAR,Males,35 - 44,2960,3011,2436,3375
2009,MAR,Males,45 - 54,870,1014,798,1142
2009,MAR,Males,55 - 64,332,377,319,487
2009,MAR,Males,65+,292,264,202,313
2009,PRY,Males,55 - 64,25,36,24,46
2009,PRY,Females,0 - 14,585,912,641,1093
2009,PRY,Females,15 - 24,2699,2140,1491,2606
2009,PRY,Females,25 - 34,2687,2194,1684,2657
2009,PRY,Females,35 - 44,1024,934,747,1128
2009,PRY,Females,55 - 64,178,197,133,216
2009,PRY,Females,65+,43,42,35,62
2009,PRY,Males,0 - 14,510,739,552,847
2009,PRY,Males,15 - 24,797,1228,767,1287
2009,PRY,Males,25 - 34,1180,1072,820,1285
2009,PRY,Males,35 - 44,384,355,277,432
2009,PRY,Females,45 - 54,509,512,381,609
2009,PAK,Females,0 - 14,399,351,229,468
2009,PAK,Females,15 - 24,258,453,306,707
2009,PAK,Females,25 - 34,286,510,391,984
2009,PAK,Females,35 - 44,221,194,200,376
2009,PAK,Females,45 - 54,85,83,59,125
2009,PAK,Females,55 - 64,13,14,12,26
2009,PAK,Females,65+,6,8,4,11
2009,PAK,Males,0 - 14,614,785,678,1385
2009,PAK,Males,15 - 24,1472,1801,1432,2661
2009,PAK,Males,25 - 34,1927,2426,1993,3101
2009,PAK,Males,35 - 44,870,989,918,1425
2009,PAK,Males,45 - 54,237,276,236,377
2009,PAK,Males,55 - 64,29,44,31,71
2009,PAK,Males,65+,4,7,5,17
2009,UKR,Females,65+,72,87,63,110
2009,RUS,Females,0 - 14,532,661,492,872
2009,GBR,Males,0 - 14,986,786,695,1047
2009,GBR,Males,15 - 24,461,612,468,703
2009,GBR,Males,25 - 34,1110,1221,985,1328
2009,GBR,Males,35 - 44,1395,1126,967,1375
2009,GBR,Males,45 - 54,1510,1532,1246,1711
2009,GBR,Males,55 - 64,2301,2104,1737,2513
2009,GBR,Females,65+,1013,1042,970,1388
2009,GBR,Males,65+,1549,1553,1277,1736
2009,GBR,Females,55 - 64,2222,1740,1529,2309
2009,GBR,Females,35 - 44,1232,1045,841,1174
2009,UKR,Males,35 - 44,260,271,254,387
2009,UKR,Males,45 - 54,177,176,151,236
2009,UKR,Males,55 - 64,56,96,57,102
2009,UKR,Males,65+,28,35,21,39
2009,GBR,Females,45 - 54,1363,1331,1104,1495
2009,GBR,Females,0 - 14,1004,784,623,981
2009,GBR,Females,15 - 24,666,887,642,911
2009,GBR,Females,25 - 34,1124,1328,1011,1390
2009,USA,Females,0 - 14,315,334,256,394
2009,USA,Females,15 - 24,492,772,588,988
2009,USA,Females,25 - 34,454,552,459,715
2009,VEN,Females,0 - 14,379,345,359,639
2009,VEN,Females,15 - 24,591,711,512,877
2009,VEN,Females,25 - 34,1131,1188,968,1388
2009,VEN,Females,35 - 44,491,560,438,647
2009,VEN,Females,45 - 54,335,348,244,406
2009,VEN,Females,55 - 64,284,306,212,333
2009,VEN,Females,65+,152,161,135,244
2009,VEN,Males,15 - 24,497,539,431,647
2009,VEN,Males,25 - 34,856,948,732,1075
2009,VEN,Males,35 - 44,333,356,303,453
2009,VEN,Males,45 - 54,155,164,132,206
2009,VEN,Males,55 - 64,107,108,77,126
2009,VEN,Males,65+,60,76,50,109
2009,VEN,Males,0 - 14,362,390,355,614
2009,USA,Females,35 - 44,219,248,183,268
2009,USA,Females,45 - 54,114,161,111,170
2009,USA,Females,55 - 64,97,97,84,125
2009,USA,Females,65+,79,65,66,102
2009,USA,Males,0 - 14,320,386,288,416
2009,USA,Males,15 - 24,359,436,368,592
2009,USA,Males,25 - 34,342,502,329,545
2009,USA,Males,35 - 44,268,253,185,266
2009,USA,Males,45 - 54,187,161,127,186
2009,USA,Males,55 - 64,123,96,87,136
2009,USA,Males,65+,117,72,75,121
2009,UKR,Males,25 - 34,441,544,351,562
2009,UKR,Males,15 - 24,413,501,354,524
2009,RUS,Females,15 - 24,621,590,492,780
2009,RUS,Females,25 - 34,929,993,752,1231
2009,RUS,Females,35 - 44,563,751,599,1005
2009,RUS,Females,45 - 54,450,554,420,671
2009,RUS,Females,55 - 64,233,349,246,447
2009,RUS,Females,65+,105,132,92,202
2009,RUS,Males,0 - 14,620,654,470,721
2009,RUS,Males,25 - 34,240,358,255,465
2009,RUS,Males,35 - 44,326,431,319,526
2009,RUS,Males,45 - 54,278,298,229,376
2009,RUS,Males,55 - 64,119,180,94,183
2009,RUS,Males,65+,44,59,32,78
2009,RUS,Males,15 - 24,225,267,202,351
2009,UKR,Females,0 - 14,413,330,341,517
2009,UKR,Females,15 - 24,708,648,562,836
2009,UKR,Females,25 - 34,672,806,665,971
2009,UKR,Females,35 - 44,473,492,428,619
2009,UKR,Females,45 - 54,380,381,299,447
2009,UKR,Females,55 - 64,195,238,166,272
2009,UKR,Males,0 - 14,462,415,314,499
2009,MAR,Females,45 - 54,963,1012,677,1059
