Total Nacional, Comunidad Autónoma y Provincia;Nacionalidad;Periodo;Total
01 Andalucía;Rusia;2021;2.164
01 Andalucía;Otro país del resto de Europa;2022;1.494
01 Andalucía;Otro país del resto de Europa;2021;1.053
01 Andalucía;De Africa;2022;33.745
01 Andalucía;De Africa;2021;34.805
01 Andalucía;Argelia;2022;1.065
01 Andalucía;Argelia;2021;968
01 Andalucía;Gambia;2022;367
01 Andalucía;Gambia;2021;600
01 Andalucía;Ghana;2022;396
01 Andalucía;Ghana;2021;408
01 Andalucía;Guinea;2022;310
01 Andalucía;Guinea;2021;297
01 Andalucía;Guinea Ecuatorial;2022;143
01 Andalucía;Guinea Ecuatorial;2021;135
01 Andalucía;Mali;2022;1.434
01 Andalucía;Mali;2021;2.136
01 Andalucía;Marruecos;2022;25.084
01 Andalucía;Marruecos;2021;24.898
01 Andalucía;Mauritania;2022;266
01 Andalucía;Mauritania;2021;382
01 Andalucía;Nigeria;2022;478
01 Andalucía;Nigeria;2021;481
01 Andalucía;Senegal;2022;2.686
01 Andalucía;Senegal;2021;3.066
01 Andalucía;Otro país de África;2022;1.516
01 Andalucía;Otro país de África;2021;1.434
01 Andalucía;América del Norte;2022;3.196
01 Andalucía;América del Norte;2021;2.820
01 Andalucía;Estados Unidos de América;2022;2.046
01 Andalucía;Estados Unidos de América;2021;1.902
01 Andalucía;México;2022;820
01 Andalucía;México;2021;645
01 Andalucía;Canadá;2022;330
01 Andalucía;Canadá;2021;273
01 Andalucía;De Centro América y Caribe;2022;9.864
01 Andalucía;De Centro América y Caribe;2021;5.664
01 Andalucía;Cuba;2022;1.638
01 Andalucía;Cuba;2021;1.038
01 Andalucía;Honduras;2022;2.779
01 Andalucía;Honduras;2021;1.427
01 Andalucía;Nicaragua;2022;3.586
01 Andalucía;Nicaragua;2021;1.869
01 Andalucía;República Dominicana;2022;542
01 Andalucía;República Dominicana;2021;500
01 Andalucía;Otro país de Centro América y Caribe;2022;1.319
01 Andalucía;Otro país de Centro América y Caribe;2021;830
01 Andalucía;De Sudamérica;2022;41.774
01 Andalucía;De Sudamérica;2021;19.481
01 Andalucía;Argentina;2022;6.148
01 Andalucía;Argentina;2021;3.470
01 Andalucía;Bolivia;2022;961
01 Andalucía;Bolivia;2021;857
01 Andalucía;Brasil;2022;2.132
01 Andalucía;Brasil;2021;1.427
01 Andalucía;Colombia;2022;15.523
01 Andalucía;Colombia;2021;5.639
01 Andalucía;Chile;2022;698
01 Andalucía;Chile;2021;533
01 Andalucía;Ecuador;2022;1.208
01 Andalucía;Ecuador;2021;952
01 Andalucía;Paraguay;2022;3.650
01 Andalucía;Paraguay;2021;1.518
01 Andalucía;Perú;2022;4.628
01 Andalucía;Perú;2021;1.901
01 Andalucía;Uruguay;2022;343
01 Andalucía;Uruguay;2021;268
01 Andalucía;Venezuela;2022;6.483
01 Andalucía;Venezuela;2021;2.912
01 Andalucía;Otro país de Sudamérica;2022;0
01 Andalucía;Otro país de Sudamérica;2021;4
01 Andalucía;De Asia;2022;4.778
01 Andalucía;De Asia;2021;4.741
01 Andalucía;Bangladesh;2022;133
01 Andalucía;Bangladesh;2021;93
01 Andalucía;China;2022;1.064
01 Andalucía;China;2021;1.363
01 Andalucía;Filipinas;2022;383
01 Andalucía;Filipinas;2021;309
01 Andalucía;India;2022;387
01 Andalucía;India;2021;299
01 Andalucía;Pakistán;2022;965
01 Andalucía;Pakistán;2021;803
01 Andalucía;Otro país de Asia;2022;1.846
01 Andalucía;Otro país de Asia;2021;1.874
01 Andalucía;De Oceanía;2022;166
01 Andalucía;De Oceanía;2021;126
01 Andalucía;Apátridas;2022;66
01 Andalucía;Apátridas;2021;92
04 Almería;Total;2022;25.241
04 Almería;Total;2021;22.731
04 Almería;Española;2022;1.641
04 Almería;Española;2021;1.407
04 Almería;UE27_2020 sin España;2022;3.826
04 Almería;UE27_2020 sin España;2021;4.018
04 Almería;Bélgica;2022;240
04 Almería;Bélgica;2021;268
04 Almería;Bulgaria;2022;203
04 Almería;Bulgaria;2021;256
04 Almería;Dinamarca;2022;20
04 Almería;Dinamarca;2021;9
04 Almería;Finlandia;2022;0
04 Almería;Finlandia;2021;8
04 Almería;Francia;2022;190
04 Almería;Francia;2021;218
04 Almería;Irlanda;2022;134
04 Almería;Irlanda;2021;119
04 Almería;Italia;2022;290
04 Almería;Italia;2021;281
04 Almería;Países Bajos;2022;204
04 Almería;Países Bajos;2021;153
04 Almería;Polonia;2022;60
04 Almería;Polonia;2021;54
04 Almería;Portugal;2022;63
04 Almería;Portugal;2021;65
04 Almería;Alemania;2022;234
04 Almería;Alemania;2021;236
04 Almería;Rumanía;2022;1.920
04 Almería;Rumanía;2021;2.112
04 Almería;Suecia;2022;41
04 Almería;Suecia;2021;31
04 Almería;Lituania;2022;132
04 Almería;Lituania;2021;129
04 Almería;Otro país de la Unión Europea sin España;2022;95
04 Almería;Otro país de la Unión Europea sin España;2021;79
04 Almería;Europa menos UE27_2020;2022;2.433
04 Almería;Europa menos UE27_2020;2021;2.127
04 Almería;Noruega;2022;8
04 Almería;Noruega;2021;4
04 Almería;Reino Unido;2022;953
04 Almería;Reino Unido;2021;1.666
04 Almería;Suiza;2022;18
04 Almería;Suiza;2021;31
04 Almería;Ucrania;2022;1.104
04 Almería;Ucrania;2021;138
04 Almería;Moldavia;2022;22
04 Almería;Moldavia;2021;29
04 Almería;Rusia;2022;224
04 Almería;Rusia;2021;172
04 Almería;Otro país del resto de Europa;2022;104
04 Almería;Otro país del resto de Europa;2021;87
04 Almería;De Africa;2022;10.877
04 Almería;De Africa;2021;11.748
04 Almería;Argelia;2022;183
04 Almería;Argelia;2021;132
04 Almería;Gambia;2022;203
04 Almería;Gambia;2021;346
04 Almería;Ghana;2022;202
04 Almería;Ghana;2021;211
04 Almería;Guinea;2022;67
04 Almería;Guinea;2021;74
04 Almería;Guinea Ecuatorial;2022;28
04 Almería;Guinea Ecuatorial;2021;36
04 Almería;Mali;2022;542
04 Almería;Mali;2021;855
04 Almería;Marruecos;2022;8.011
04 Almería;Marruecos;2021;7.880
04 Almería;Mauritania;2022;128
04 Almería;Mauritania;2021;224
04 Almería;Nigeria;2022;74
04 Almería;Nigeria;2021;99
04 Almería;Senegal;2022;1.052
04 Almería;Senegal;2021;1.471
04 Almería;Otro país de África;2022;387
04 Almería;Otro país de África;2021;420
04 Almería;América del Norte;2022;137
04 Almería;América del Norte;2021;103
04 Almería;Estados Unidos de América;2022;70
04 Almería;Estados Unidos de América;2021;48
04 Almería;México;2022;46
04 Almería;México;2021;43
04 Almería;Canadá;2022;21
04 Almería;Canadá;2021;12
04 Almería;De Centro América y Caribe;2022;543
04 Almería;De Centro América y Caribe;2021;324
04 Almería;Cuba;2022;125
04 Almería;Cuba;2021;70
04 Almería;Honduras;2022;122
04 Almería;Honduras;2021;76
04 Almería;Nicaragua;2022;160
04 Almería;Nicaragua;2021;72
04 Almería;República Dominicana;2022;56
04 Almería;República Dominicana;2021;60
04 Almería;Otro país de Centro América y Caribe;2022;80
04 Almería;Otro país de Centro América y Caribe;2021;46
04 Almería;De Sudamérica;2022;5.449
04 Almería;De Sudamérica;2021;2.666
04 Almería;Argentina;2022;573
04 Almería;Argentina;2021;310
04 Almería;Bolivia;2022;88
04 Almería;Bolivia;2021;58
04 Almería;Brasil;2022;159
04 Almería;Brasil;2021;104
04 Almería;Colombia;2022;2.040
04 Almería;Colombia;2021;777
04 Almería;Chile;2022;50
04 Almería;Chile;2021;43
04 Almería;Ecuador;2022;445
04 Almería;Ecuador;2021;435
04 Almería;Paraguay;2022;72
04 Almería;Paraguay;2021;37
04 Almería;Perú;2022;1.525
04 Almería;Perú;2021;638
04 Almería;Uruguay;2022;18
04 Almería;Uruguay;2021;24
04 Almería;Venezuela;2022;479
04 Almería;Venezuela;2021;238
04 Almería;Otro país de Sudamérica;2022;0
04 Almería;Otro país de Sudamérica;2021;2
04 Almería;De Asia;2022;325
04 Almería;De Asia;2021;327
04 Almería;Bangladesh;2022;10
04 Almería;Bangladesh;2021;8
04 Almería;China;2022;56
04 Almería;China;2021;55
04 Almería;Filipinas;2022;7
04 Almería;Filipinas;2021;7
04 Almería;India;2022;14
04 Almería;India;2021;15
04 Almería;Pakistán;2022;206
04 Almería;Pakistán;2021;205
04 Almería;Otro país de Asia;2022;32
04 Almería;Otro país de Asia;2021;37
04 Almería;De Oceanía;2022;8
04 Almería;De Oceanía;2021;6
04 Almería;Apátridas;2022;2
04 Almería;Apátridas;2021;5
11 Cádiz;Total;2022;14.296
11 Cádiz;Total;2021;11.348
11 Cádiz;Española;2022;2.171
11 Cádiz;Española;2021;1.990
11 Cádiz;UE27_2020 sin España;2022;2.121
11 Cádiz;UE27_2020 sin España;2021;2.028
11 Cádiz;Bélgica;2022;68
11 Cádiz;Bélgica;2021;86
11 Cádiz;Bulgaria;2022;28
11 Cádiz;Bulgaria;2021;39
11 Cádiz;Dinamarca;2022;13
11 Cádiz;Dinamarca;2021;28
11 Cádiz;Finlandia;2022;18
11 Cádiz;Finlandia;2021;14
11 Cádiz;Francia;2022;252
11 Cádiz;Francia;2021;221
11 Cádiz;Irlanda;2022;65
11 Cádiz;Irlanda;2021;80
11 Cádiz;Italia;2022;443
11 Cádiz;Italia;2021;358
11 Cádiz;Países Bajos;2022;122
11 Cádiz;Países Bajos;2021;101
11 Cádiz;Polonia;2022;114
11 Cádiz;Polonia;2021;64
11 Cádiz;Portugal;2022;165
11 Cádiz;Portugal;2021;213
11 Cádiz;Alemania;2022;361
11 Cádiz;Alemania;2021;364
11 Cádiz;Rumanía;2022;243
11 Cádiz;Rumanía;2021;232
11 Cádiz;Suecia;2022;22
11 Cádiz;Suecia;2021;23
11 Cádiz;Lituania;2022;32
11 Cádiz;Lituania;2021;17
11 Cádiz;Otro país de la Unión Europea sin España;2022;175
11 Cádiz;Otro país de la Unión Europea sin España;2021;188
11 Cádiz;Europa menos UE27_2020;2022;1.811
11 Cádiz;Europa menos UE27_2020;2021;1.387
11 Cádiz;Noruega;2022;7
11 Cádiz;Noruega;2021;23
11 Cádiz;Reino Unido;2022;578
11 Cádiz;Reino Unido;2021;1.119
11 Cádiz;Suiza;2022;39
11 Cádiz;Suiza;2021;53
11 Cádiz;Ucrania;2022;1.030
11 Cádiz;Ucrania;2021;71
11 Cádiz;Moldavia;2022;4
11 Cádiz;Moldavia;2021;4
11 Cádiz;Rusia;2022;107
11 Cádiz;Rusia;2021;80
11 Cádiz;Otro país del resto de Europa;2022;46
11 Cádiz;Otro país del resto de Europa;2021;37
11 Cádiz;De Africa;2022;3.062
11 Cádiz;De Africa;2021;2.652
11 Cádiz;Argelia;2022;107
11 Cádiz;Argelia;2021;68
11 Cádiz;Gambia;2022;12
11 Cádiz;Gambia;2021;23
11 Cádiz;Ghana;2022;9
11 Cádiz;Ghana;2021;2
11 Cádiz;Guinea;2022;18
11 Cádiz;Guinea;2021;23
11 Cádiz;Guinea Ecuatorial;2022;10
11 Cádiz;Guinea Ecuatorial;2021;4
11 Cádiz;Mali;2022;50
11 Cádiz;Mali;2021;67
11 Cádiz;Marruecos;2022;2.547
11 Cádiz;Marruecos;2021;2.136
11 Cádiz;Mauritania;2022;31
11 Cádiz;Mauritania;2021;39
11 Cádiz;Nigeria;2022;22
11 Cádiz;Nigeria;2021;30
11 Cádiz;Senegal;2022;157
11 Cádiz;Senegal;2021;166
11 Cádiz;Otro país de África;2022;99
11 Cádiz;Otro país de África;2021;94
11 Cádiz;América del Norte;2022;594
11 Cádiz;América del Norte;2021;605
11 Cádiz;Estados Unidos de América;2022;472
11 Cádiz;Estados Unidos de América;2021;510
11 Cádiz;México;2022;99
11 Cádiz;México;2021;74
11 Cádiz;Canadá;2022;23
11 Cádiz;Canadá;2021;21
11 Cádiz;De Centro América y Caribe;2022;989
11 Cádiz;De Centro América y Caribe;2021;577
11 Cádiz;Cuba;2022;167
11 Cádiz;Cuba;2021;110
11 Cádiz;Honduras;2022;437
11 Cádiz;Honduras;2021;239
11 Cádiz;Nicaragua;2022;196
11 Cádiz;Nicaragua;2021;75
11 Cádiz;República Dominicana;2022;86
11 Cádiz;República Dominicana;2021;71
11 Cádiz;Otro país de Centro América y Caribe;2022;103
11 Cádiz;Otro país de Centro América y Caribe;2021;82
11 Cádiz;De Sudamérica;2022;3.029
11 Cádiz;De Sudamérica;2021;1.530
11 Cádiz;Argentina;2022;320
11 Cádiz;Argentina;2021;234
11 Cádiz;Bolivia;2022;111
11 Cádiz;Bolivia;2021;101
11 Cádiz;Brasil;2022;207
11 Cádiz;Brasil;2021;138
11 Cádiz;Colombia;2022;1.269
11 Cádiz;Colombia;2021;515
11 Cádiz;Chile;2022;44
11 Cádiz;Chile;2021;42
11 Cádiz;Ecuador;2022;48
11 Cádiz;Ecuador;2021;38
11 Cádiz;Paraguay;2022;179
11 Cádiz;Paraguay;2021;67
11 Cádiz;Perú;2022;360
11 Cádiz;Perú;2021;152
11 Cádiz;Uruguay;2022;20
11 Cádiz;Uruguay;2021;29
11 Cádiz;Venezuela;2022;471
11 Cádiz;Venezuela;2021;214
11 Cádiz;Otro país de Sudamérica;2022;0
11 Cádiz;Otro país de Sudamérica;2021;0
11 Cádiz;De Asia;2022;483
11 Cádiz;De Asia;2021;539
11 Cádiz;Bangladesh;2022;13
11 Cádiz;Bangladesh;2021;9
11 Cádiz;China;2022;92
11 Cádiz;China;2021;124
11 Cádiz;Filipinas;2022;22
11 Cádiz;Filipinas;2021;31
11 Cádiz;India;2022;51
11 Cádiz;India;2021;42
11 Cádiz;Pakistán;2022;97
11 Cádiz;Pakistán;2021;63
11 Cádiz;Otro país de Asia;2022;208
11 Cádiz;Otro país de Asia;2021;270
11 Cádiz;De Oceanía;2022;25
11 Cádiz;De Oceanía;2021;18
11 Cádiz;Apátridas;2022;11
11 Cádiz;Apátridas;2021;22
14 Córdoba;Total;2022;6.958
14 Córdoba;Total;2021;4.633
14 Córdoba;Española;2022;910
14 Córdoba;Española;2021;850
14 Córdoba;UE27_2020 sin España;2022;827
14 Córdoba;UE27_2020 sin España;2021;800
14 Córdoba;Bélgica;2022;24
14 Córdoba;Bélgica;2021;7
14 Córdoba;Bulgaria;2022;12
14 Córdoba;Bulgaria;2021;24
14 Córdoba;Dinamarca;2022;2
14 Córdoba;Dinamarca;2021;0
14 Córdoba;Finlandia;2022;2
14 Córdoba;Finlandia;2021;2
14 Córdoba;Francia;2022;39
14 Córdoba;Francia;2021;51
14 Córdoba;Irlanda;2022;9
14 Córdoba;Irlanda;2021;10
14 Córdoba;Italia;2022;80
14 Córdoba;Italia;2021;71
14 Córdoba;Países Bajos;2022;22
14 Córdoba;Países Bajos;2021;9
14 Córdoba;Polonia;2022;19
14 Córdoba;Polonia;2021;9
14 Córdoba;Portugal;2022;20
14 Córdoba;Portugal;2021;33
14 Córdoba;Alemania;2022;17
14 Córdoba;Alemania;2021;21
14 Córdoba;Rumanía;2022;548
14 Córdoba;Rumanía;2021;535
14 Córdoba;Suecia;2022;3
14 Córdoba;Suecia;2021;0
14 Córdoba;Lituania;2022;7
14 Córdoba;Lituania;2021;6
14 Córdoba;Otro país de la Unión Europea sin España;2022;23
14 Córdoba;Otro país de la Unión Europea sin España;2021;22
14 Córdoba;Europa menos UE27_2020;2022;699
