Total Nacional, Comunidad Autónoma y Provincia;Nacionalidad;Periodo;Total
25 Lleida;Portugal;2021;106
25 Lleida;Alemania;2022;25
25 Lleida;Alemania;2021;28
25 Lleida;Rumanía;2022;1.749
25 Lleida;Rumanía;2021;1.853
25 Lleida;Suecia;2022;3
25 Lleida;Suecia;2021;3
25 Lleida;Lituania;2022;7
25 Lleida;Lituania;2021;10
25 Lleida;Otro país de la Unión Europea sin España;2022;57
25 Lleida;Otro país de la Unión Europea sin España;2021;40
25 Lleida;Europa menos UE27_2020;2022;1.650
25 Lleida;Europa menos UE27_2020;2021;486
25 Lleida;Noruega;2022;0
25 Lleida;Noruega;2021;2
25 Lleida;Reino Unido;2022;24
25 Lleida;Reino Unido;2021;44
25 Lleida;Suiza;2022;4
25 Lleida;Suiza;2021;4
25 Lleida;Ucrania;2022;1.386
25 Lleida;Ucrania;2021;181
25 Lleida;Moldavia;2022;37
25 Lleida;Moldavia;2021;30
25 Lleida;Rusia;2022;64
25 Lleida;Rusia;2021;42
25 Lleida;Otro país del resto de Europa;2022;135
25 Lleida;Otro país del resto de Europa;2021;183
25 Lleida;De Africa;2022;4.647
25 Lleida;De Africa;2021;3.752
25 Lleida;Argelia;2022;435
25 Lleida;Argelia;2021;341
25 Lleida;Gambia;2022;322
25 Lleida;Gambia;2021;324
25 Lleida;Ghana;2022;122
25 Lleida;Ghana;2021;102
25 Lleida;Guinea;2022;149
25 Lleida;Guinea;2021;146
25 Lleida;Guinea Ecuatorial;2022;42
25 Lleida;Guinea Ecuatorial;2021;28
25 Lleida;Mali;2022;230
25 Lleida;Mali;2021;228
25 Lleida;Marruecos;2022;2.222
25 Lleida;Marruecos;2021;1.763
25 Lleida;Mauritania;2022;56
25 Lleida;Mauritania;2021;56
25 Lleida;Nigeria;2022;58
25 Lleida;Nigeria;2021;33
25 Lleida;Senegal;2022;835
25 Lleida;Senegal;2021;592
25 Lleida;Otro país de África;2022;176
25 Lleida;Otro país de África;2021;139
25 Lleida;América del Norte;2022;80
25 Lleida;América del Norte;2021;66
25 Lleida;Estados Unidos de América;2022;26
25 Lleida;Estados Unidos de América;2021;33
25 Lleida;México;2022;50
25 Lleida;México;2021;29
25 Lleida;Canadá;2022;4
25 Lleida;Canadá;2021;4
25 Lleida;De Centro América y Caribe;2022;510
25 Lleida;De Centro América y Caribe;2021;317
25 Lleida;Cuba;2022;110
25 Lleida;Cuba;2021;49
25 Lleida;Honduras;2022;234
25 Lleida;Honduras;2021;125
25 Lleida;Nicaragua;2022;14
25 Lleida;Nicaragua;2021;9
25 Lleida;República Dominicana;2022;103
25 Lleida;República Dominicana;2021;107
25 Lleida;Otro país de Centro América y Caribe;2022;49
25 Lleida;Otro país de Centro América y Caribe;2021;27
25 Lleida;De Sudamérica;2022;3.251
25 Lleida;De Sudamérica;2021;1.559
25 Lleida;Argentina;2022;159
25 Lleida;Argentina;2021;110
25 Lleida;Bolivia;2022;52
25 Lleida;Bolivia;2021;47
25 Lleida;Brasil;2022;300
25 Lleida;Brasil;2021;232
25 Lleida;Colombia;2022;1.769
25 Lleida;Colombia;2021;703
25 Lleida;Chile;2022;50
25 Lleida;Chile;2021;26
25 Lleida;Ecuador;2022;74
25 Lleida;Ecuador;2021;50
25 Lleida;Paraguay;2022;34
25 Lleida;Paraguay;2021;25
25 Lleida;Perú;2022;485
25 Lleida;Perú;2021;225
25 Lleida;Uruguay;2022;14
25 Lleida;Uruguay;2021;17
25 Lleida;Venezuela;2022;314
25 Lleida;Venezuela;2021;124
25 Lleida;Otro país de Sudamérica;2022;0
25 Lleida;Otro país de Sudamérica;2021;0
25 Lleida;De Asia;2022;431
25 Lleida;De Asia;2021;393
25 Lleida;Bangladesh;2022;10
25 Lleida;Bangladesh;2021;7
25 Lleida;China;2022;66
25 Lleida;China;2021;84
25 Lleida;Filipinas;2022;6
25 Lleida;Filipinas;2021;11
25 Lleida;India;2022;60
25 Lleida;India;2021;34
25 Lleida;Pakistán;2022;202
25 Lleida;Pakistán;2021;214
25 Lleida;Otro país de Asia;2022;87
25 Lleida;Otro país de Asia;2021;43
25 Lleida;De Oceanía;2022;3
25 Lleida;De Oceanía;2021;6
25 Lleida;Apátridas;2022;2
25 Lleida;Apátridas;2021;4
43 Tarragona;Total;2022;27.305
43 Tarragona;Total;2021;18.898
43 Tarragona;Española;2022;2.463
43 Tarragona;Española;2021;2.560
43 Tarragona;UE27_2020 sin España;2022;3.946
43 Tarragona;UE27_2020 sin España;2021;3.760
43 Tarragona;Bélgica;2022;117
43 Tarragona;Bélgica;2021;137
43 Tarragona;Bulgaria;2022;145
43 Tarragona;Bulgaria;2021;153
43 Tarragona;Dinamarca;2022;10
43 Tarragona;Dinamarca;2021;15
43 Tarragona;Finlandia;2022;11
43 Tarragona;Finlandia;2021;8
43 Tarragona;Francia;2022;396
43 Tarragona;Francia;2021;426
43 Tarragona;Irlanda;2022;61
43 Tarragona;Irlanda;2021;56
43 Tarragona;Italia;2022;798
43 Tarragona;Italia;2021;671
43 Tarragona;Países Bajos;2022;207
43 Tarragona;Países Bajos;2021;160
43 Tarragona;Polonia;2022;140
43 Tarragona;Polonia;2021;131
43 Tarragona;Portugal;2022;95
43 Tarragona;Portugal;2021;100
43 Tarragona;Alemania;2022;283
43 Tarragona;Alemania;2021;362
43 Tarragona;Rumanía;2022;1.397
43 Tarragona;Rumanía;2021;1.303
43 Tarragona;Suecia;2022;31
43 Tarragona;Suecia;2021;27
43 Tarragona;Lituania;2022;60
43 Tarragona;Lituania;2021;54
43 Tarragona;Otro país de la Unión Europea sin España;2022;195
43 Tarragona;Otro país de la Unión Europea sin España;2021;157
43 Tarragona;Europa menos UE27_2020;2022;4.566
43 Tarragona;Europa menos UE27_2020;2021;1.659
43 Tarragona;Noruega;2022;10
43 Tarragona;Noruega;2021;16
43 Tarragona;Reino Unido;2022;254
43 Tarragona;Reino Unido;2021;312
43 Tarragona;Suiza;2022;66
43 Tarragona;Suiza;2021;109
43 Tarragona;Ucrania;2022;2.841
43 Tarragona;Ucrania;2021;212
43 Tarragona;Moldavia;2022;130
43 Tarragona;Moldavia;2021;104
43 Tarragona;Rusia;2022;797
43 Tarragona;Rusia;2021;433
43 Tarragona;Otro país del resto de Europa;2022;468
43 Tarragona;Otro país del resto de Europa;2021;473
43 Tarragona;De Africa;2022;6.164
43 Tarragona;De Africa;2021;5.128
43 Tarragona;Argelia;2022;308
43 Tarragona;Argelia;2021;236
43 Tarragona;Gambia;2022;203
43 Tarragona;Gambia;2021;161
43 Tarragona;Ghana;2022;28
43 Tarragona;Ghana;2021;52
43 Tarragona;Guinea;2022;19
43 Tarragona;Guinea;2021;15
43 Tarragona;Guinea Ecuatorial;2022;17
43 Tarragona;Guinea Ecuatorial;2021;16
43 Tarragona;Mali;2022;40
43 Tarragona;Mali;2021;59
43 Tarragona;Marruecos;2022;4.976
43 Tarragona;Marruecos;2021;3.998
43 Tarragona;Mauritania;2022;2
43 Tarragona;Mauritania;2021;3
43 Tarragona;Nigeria;2022;66
43 Tarragona;Nigeria;2021;55
43 Tarragona;Senegal;2022;386
43 Tarragona;Senegal;2021;432
43 Tarragona;Otro país de África;2022;119
43 Tarragona;Otro país de África;2021;101
43 Tarragona;América del Norte;2022;259
43 Tarragona;América del Norte;2021;191
43 Tarragona;Estados Unidos de América;2022;101
43 Tarragona;Estados Unidos de América;2021;91
43 Tarragona;México;2022;125
43 Tarragona;México;2021;85
43 Tarragona;Canadá;2022;33
43 Tarragona;Canadá;2021;15
43 Tarragona;De Centro América y Caribe;2022;1.127
43 Tarragona;De Centro América y Caribe;2021;678
43 Tarragona;Cuba;2022;353
43 Tarragona;Cuba;2021;196
43 Tarragona;Honduras;2022;438
43 Tarragona;Honduras;2021;238
43 Tarragona;Nicaragua;2022;43
43 Tarragona;Nicaragua;2021;33
43 Tarragona;República Dominicana;2022;173
43 Tarragona;República Dominicana;2021;133
43 Tarragona;Otro país de Centro América y Caribe;2022;120
43 Tarragona;Otro país de Centro América y Caribe;2021;78
43 Tarragona;De Sudamérica;2022;7.297
43 Tarragona;De Sudamérica;2021;3.481
43 Tarragona;Argentina;2022;935
43 Tarragona;Argentina;2021;525
43 Tarragona;Bolivia;2022;116
43 Tarragona;Bolivia;2021;101
43 Tarragona;Brasil;2022;540
43 Tarragona;Brasil;2021;343
43 Tarragona;Colombia;2022;3.549
43 Tarragona;Colombia;2021;1.427
43 Tarragona;Chile;2022;209
43 Tarragona;Chile;2021;122
43 Tarragona;Ecuador;2022;207
43 Tarragona;Ecuador;2021;120
43 Tarragona;Paraguay;2022;163
43 Tarragona;Paraguay;2021;106
43 Tarragona;Perú;2022;617
43 Tarragona;Perú;2021;224
43 Tarragona;Uruguay;2022;129
43 Tarragona;Uruguay;2021;99
43 Tarragona;Venezuela;2022;832
43 Tarragona;Venezuela;2021;414
43 Tarragona;Otro país de Sudamérica;2022;0
43 Tarragona;Otro país de Sudamérica;2021;0
43 Tarragona;De Asia;2022;1.474
43 Tarragona;De Asia;2021;1.428
43 Tarragona;Bangladesh;2022;9
43 Tarragona;Bangladesh;2021;11
43 Tarragona;China;2022;182
43 Tarragona;China;2021;231
43 Tarragona;Filipinas;2022;32
43 Tarragona;Filipinas;2021;27
43 Tarragona;India;2022;299
43 Tarragona;India;2021;174
43 Tarragona;Pakistán;2022;681
43 Tarragona;Pakistán;2021;778
43 Tarragona;Otro país de Asia;2022;271
43 Tarragona;Otro país de Asia;2021;207
43 Tarragona;De Oceanía;2022;8
43 Tarragona;De Oceanía;2021;10
43 Tarragona;Apátridas;2022;1
43 Tarragona;Apátridas;2021;3
10 Comunitat Valenciana;Total;2022;183.433
10 Comunitat Valenciana;Total;2021;126.768
10 Comunitat Valenciana;Española;2022;14.556
10 Comunitat Valenciana;Española;2021;14.005
10 Comunitat Valenciana;UE27_2020 sin España;2022;34.435
10 Comunitat Valenciana;UE27_2020 sin España;2021;35.727
10 Comunitat Valenciana;Bélgica;2022;2.152
10 Comunitat Valenciana;Bélgica;2021;2.676
10 Comunitat Valenciana;Bulgaria;2022;1.798
10 Comunitat Valenciana;Bulgaria;2021;1.847
10 Comunitat Valenciana;Dinamarca;2022;165
10 Comunitat Valenciana;Dinamarca;2021;239
10 Comunitat Valenciana;Finlandia;2022;199
10 Comunitat Valenciana;Finlandia;2021;238
10 Comunitat Valenciana;Francia;2022;3.149
10 Comunitat Valenciana;Francia;2021;3.661
10 Comunitat Valenciana;Irlanda;2022;746
10 Comunitat Valenciana;Irlanda;2021;960
10 Comunitat Valenciana;Italia;2022;6.683
10 Comunitat Valenciana;Italia;2021;5.699
10 Comunitat Valenciana;Países Bajos;2022;3.322
10 Comunitat Valenciana;Países Bajos;2021;3.734
10 Comunitat Valenciana;Polonia;2022;1.406
10 Comunitat Valenciana;Polonia;2021;1.067
10 Comunitat Valenciana;Portugal;2022;879
10 Comunitat Valenciana;Portugal;2021;786
10 Comunitat Valenciana;Alemania;2022;2.821
10 Comunitat Valenciana;Alemania;2021;4.411
10 Comunitat Valenciana;Rumanía;2022;7.765
10 Comunitat Valenciana;Rumanía;2021;7.110
10 Comunitat Valenciana;Suecia;2022;894
10 Comunitat Valenciana;Suecia;2021;1.184
10 Comunitat Valenciana;Lituania;2022;671
10 Comunitat Valenciana;Lituania;2021;539
10 Comunitat Valenciana;Otro país de la Unión Europea sin España;2022;1.785
10 Comunitat Valenciana;Otro país de la Unión Europea sin España;2021;1.576
10 Comunitat Valenciana;Europa menos UE27_2020;2022;40.856
10 Comunitat Valenciana;Europa menos UE27_2020;2021;20.171
10 Comunitat Valenciana;Noruega;2022;853
10 Comunitat Valenciana;Noruega;2021;1.430
10 Comunitat Valenciana;Reino Unido;2022;4.942
10 Comunitat Valenciana;Reino Unido;2021;9.014
10 Comunitat Valenciana;Suiza;2022;500
10 Comunitat Valenciana;Suiza;2021;746
10 Comunitat Valenciana;Ucrania;2022;24.817
10 Comunitat Valenciana;Ucrania;2021;2.471
10 Comunitat Valenciana;Moldavia;2022;318
10 Comunitat Valenciana;Moldavia;2021;200
10 Comunitat Valenciana;Rusia;2022;7.054
10 Comunitat Valenciana;Rusia;2021;4.459
10 Comunitat Valenciana;Otro país del resto de Europa;2022;2.372
10 Comunitat Valenciana;Otro país del resto de Europa;2021;1.851
10 Comunitat Valenciana;De Africa;2022;19.992
10 Comunitat Valenciana;De Africa;2021;17.613
10 Comunitat Valenciana;Argelia;2022;5.318
10 Comunitat Valenciana;Argelia;2021;3.645
10 Comunitat Valenciana;Gambia;2022;84
10 Comunitat Valenciana;Gambia;2021;86
10 Comunitat Valenciana;Ghana;2022;89
10 Comunitat Valenciana;Ghana;2021;88
10 Comunitat Valenciana;Guinea;2022;113
10 Comunitat Valenciana;Guinea;2021;125
10 Comunitat Valenciana;Guinea Ecuatorial;2022;411
10 Comunitat Valenciana;Guinea Ecuatorial;2021;314
10 Comunitat Valenciana;Mali;2022;354
10 Comunitat Valenciana;Mali;2021;556
10 Comunitat Valenciana;Marruecos;2022;11.568
10 Comunitat Valenciana;Marruecos;2021;10.709
10 Comunitat Valenciana;Mauritania;2022;73
10 Comunitat Valenciana;Mauritania;2021;97
10 Comunitat Valenciana;Nigeria;2022;278
10 Comunitat Valenciana;Nigeria;2021;329
10 Comunitat Valenciana;Senegal;2022;881
10 Comunitat Valenciana;Senegal;2021;992
10 Comunitat Valenciana;Otro país de África;2022;823
10 Comunitat Valenciana;Otro país de África;2021;672
10 Comunitat Valenciana;América del Norte;2022;2.627
10 Comunitat Valenciana;América del Norte;2021;2.261
10 Comunitat Valenciana;Estados Unidos de América;2022;1.632
10 Comunitat Valenciana;Estados Unidos de América;2021;1.425
10 Comunitat Valenciana;México;2022;654
10 Comunitat Valenciana;México;2021;569
10 Comunitat Valenciana;Canadá;2022;341
10 Comunitat Valenciana;Canadá;2021;267
10 Comunitat Valenciana;De Centro América y Caribe;2022;7.406
10 Comunitat Valenciana;De Centro América y Caribe;2021;4.776
10 Comunitat Valenciana;Cuba;2022;2.119
10 Comunitat Valenciana;Cuba;2021;1.374
10 Comunitat Valenciana;Honduras;2022;3.621
10 Comunitat Valenciana;Honduras;2021;2.190
10 Comunitat Valenciana;Nicaragua;2022;442
10 Comunitat Valenciana;Nicaragua;2021;273
10 Comunitat Valenciana;República Dominicana;2022;401
10 Comunitat Valenciana;República Dominicana;2021;416
10 Comunitat Valenciana;Otro país de Centro América y Caribe;2022;823
10 Comunitat Valenciana;Otro país de Centro América y Caribe;2021;523
10 Comunitat Valenciana;De Sudamérica;2022;56.245
10 Comunitat Valenciana;De Sudamérica;2021;25.087
10 Comunitat Valenciana;Argentina;2022;5.603
10 Comunitat Valenciana;Argentina;2021;3.365
10 Comunitat Valenciana;Bolivia;2022;781
10 Comunitat Valenciana;Bolivia;2021;770
10 Comunitat Valenciana;Brasil;2022;2.279
10 Comunitat Valenciana;Brasil;2021;1.380
10 Comunitat Valenciana;Colombia;2022;30.053
10 Comunitat Valenciana;Colombia;2021;10.556
10 Comunitat Valenciana;Chile;2022;866
10 Comunitat Valenciana;Chile;2021;586
10 Comunitat Valenciana;Ecuador;2022;2.053
10 Comunitat Valenciana;Ecuador;2021;1.514
10 Comunitat Valenciana;Paraguay;2022;1.403
10 Comunitat Valenciana;Paraguay;2021;568
10 Comunitat Valenciana;Perú;2022;3.075
10 Comunitat Valenciana;Perú;2021;1.268
10 Comunitat Valenciana;Uruguay;2022;905
10 Comunitat Valenciana;Uruguay;2021;666
10 Comunitat Valenciana;Venezuela;2022;9.225
10 Comunitat Valenciana;Venezuela;2021;4.412
10 Comunitat Valenciana;Otro país de Sudamérica;2022;2
10 Comunitat Valenciana;Otro país de Sudamérica;2021;2
10 Comunitat Valenciana;De Asia;2022;7.091
10 Comunitat Valenciana;De Asia;2021;6.993
10 Comunitat Valenciana;Bangladesh;2022;59
10 Comunitat Valenciana;Bangladesh;2021;54
10 Comunitat Valenciana;China;2022;1.702
10 Comunitat Valenciana;China;2021;2.134
10 Comunitat Valenciana;Filipinas;2022;154
10 Comunitat Valenciana;Filipinas;2021;132
10 Comunitat Valenciana;India;2022;997
10 Comunitat Valenciana;India;2021;757
10 Comunitat Valenciana;Pakistán;2022;2.524
10 Comunitat Valenciana;Pakistán;2021;2.381
10 Comunitat Valenciana;Otro país de Asia;2022;1.655
10 Comunitat Valenciana;Otro país de Asia;2021;1.535
10 Comunitat Valenciana;De Oceanía;2022;162
10 Comunitat Valenciana;De Oceanía;2021;88
10 Comunitat Valenciana;Apátridas;2022;63
10 Comunitat Valenciana;Apátridas;2021;47
03 Alicante/Alacant;Total;2022;84.745
03 Alicante/Alacant;Total;2021;61.912
03 Alicante/Alacant;Española;2022;4.788
03 Alicante/Alacant;Española;2021;4.435
03 Alicante/Alacant;UE27_2020 sin España;2022;16.946
03 Alicante/Alacant;UE27_2020 sin España;2021;19.961
03 Alicante/Alacant;Bélgica;2022;1.818
03 Alicante/Alacant;Bélgica;2021;2.391
03 Alicante/Alacant;Bulgaria;2022;602
03 Alicante/Alacant;Bulgaria;2021;639
03 Alicante/Alacant;Dinamarca;2022;128
03 Alicante/Alacant;Dinamarca;2021;202
03 Alicante/Alacant;Finlandia;2022;164
03 Alicante/Alacant;Finlandia;2021;201
03 Alicante/Alacant;Francia;2022;1.443
03 Alicante/Alacant;Francia;2021;1.813
03 Alicante/Alacant;Irlanda;2022;532
03 Alicante/Alacant;Irlanda;2021;742
03 Alicante/Alacant;Italia;2022;2.336
03 Alicante/Alacant;Italia;2021;2.095
03 Alicante/Alacant;Países Bajos;2022;2.478
03 Alicante/Alacant;Países Bajos;2021;3.134
03 Alicante/Alacant;Polonia;2022;897
03 Alicante/Alacant;Polonia;2021;652
03 Alicante/Alacant;Portugal;2022;328
03 Alicante/Alacant;Portugal;2021;246
03 Alicante/Alacant;Alemania;2022;1.844
03 Alicante/Alacant;Alemania;2021;3.548
03 Alicante/Alacant;Rumanía;2022;2.130
03 Alicante/Alacant;Rumanía;2021;1.929
03 Alicante/Alacant;Suecia;2022;782
03 Alicante/Alacant;Suecia;2021;1.082
03 Alicante/Alacant;Lituania;2022;380
03 Alicante/Alacant;Lituania;2021;298
03 Alicante/Alacant;Otro país de la Unión Europea sin España;2022;1.084
03 Alicante/Alacant;Otro país de la Unión Europea sin España;2021;989
03 Alicante/Alacant;Europa menos UE27_2020;2022;25.427
03 Alicante/Alacant;Europa menos UE27_2020;2021;15.274
03 Alicante/Alacant;Noruega;2022;809
03 Alicante/Alacant;Noruega;2021;1.371
03 Alicante/Alacant;Reino Unido;2022;4.111
03 Alicante/Alacant;Reino Unido;2021;7.759
03 Alicante/Alacant;Suiza;2022;354
03 Alicante/Alacant;Suiza;2021;594
03 Alicante/Alacant;Ucrania;2022;13.955
03 Alicante/Alacant;Ucrania;2021;1.270
03 Alicante/Alacant;Moldavia;2022;141
03 Alicante/Alacant;Moldavia;2021;94
03 Alicante/Alacant;Rusia;2022;4.919
03 Alicante/Alacant;Rusia;2021;3.224
03 Alicante/Alacant;Otro país del resto de Europa;2022;1.138
03 Alicante/Alacant;Otro país del resto de Europa;2021;962
03 Alicante/Alacant;De Africa;2022;10.154
03 Alicante/Alacant;De Africa;2021;8.738
03 Alicante/Alacant;Argelia;2022;3.893
03 Alicante/Alacant;Argelia;2021;2.509
03 Alicante/Alacant;Gambia;2022;29
03 Alicante/Alacant;Gambia;2021;22
03 Alicante/Alacant;Ghana;2022;23
03 Alicante/Alacant;Ghana;2021;22
03 Alicante/Alacant;Guinea;2022;28
03 Alicante/Alacant;Guinea;2021;37
03 Alicante/Alacant;Guinea Ecuatorial;2022;89
03 Alicante/Alacant;Guinea Ecuatorial;2021;59
03 Alicante/Alacant;Mali;2022;121
03 Alicante/Alacant;Mali;2021;208
03 Alicante/Alacant;Marruecos;2022;5.249
03 Alicante/Alacant;Marruecos;2021;5.165
03 Alicante/Alacant;Mauritania;2022;37
03 Alicante/Alacant;Mauritania;2021;57
03 Alicante/Alacant;Nigeria;2022;83
03 Alicante/Alacant;Nigeria;2021;78
03 Alicante/Alacant;Senegal;2022;311
03 Alicante/Alacant;Senegal;2021;336
03 Alicante/Alacant;Otro país de África;2022;291
03 Alicante/Alacant;Otro país de África;2021;245
03 Alicante/Alacant;América del Norte;2022;1.012
03 Alicante/Alacant;América del Norte;2021;745
03 Alicante/Alacant;Estados Unidos de América;2022;610
03 Alicante/Alacant;Estados Unidos de América;2021;457
03 Alicante/Alacant;México;2022;201
03 Alicante/Alacant;México;2021;147
03 Alicante/Alacant;Canadá;2022;201
03 Alicante/Alacant;Canadá;2021;141
03 Alicante/Alacant;De Centro América y Caribe;2022;1.763
03 Alicante/Alacant;De Centro América y Caribe;2021;1.171
03 Alicante/Alacant;Cuba;2022;910
03 Alicante/Alacant;Cuba;2021;602
03 Alicante/Alacant;Honduras;2022;348
03 Alicante/Alacant;Honduras;2021;190
03 Alicante/Alacant;Nicaragua;2022;92
03 Alicante/Alacant;Nicaragua;2021;54
03 Alicante/Alacant;República Dominicana;2022;179
03 Alicante/Alacant;República Dominicana;2021;170
03 Alicante/Alacant;Otro país de Centro América y Caribe;2022;234
03 Alicante/Alacant;Otro país de Centro América y Caribe;2021;155
03 Alicante/Alacant;De Sudamérica;2022;22.077
03 Alicante/Alacant;De Sudamérica;2021;9.023
03 Alicante/Alacant;Argentina;2022;2.341
03 Alicante/Alacant;Argentina;2021;1.309
03 Alicante/Alacant;Bolivia;2022;164
03 Alicante/Alacant;Bolivia;2021;157
03 Alicante/Alacant;Brasil;2022;745
03 Alicante/Alacant;Brasil;2021;432
03 Alicante/Alacant;Colombia;2022;13.111
03 Alicante/Alacant;Colombia;2021;4.253
03 Alicante/Alacant;Chile;2022;279
03 Alicante/Alacant;Chile;2021;183
03 Alicante/Alacant;Ecuador;2022;799
03 Alicante/Alacant;Ecuador;2021;572
03 Alicante/Alacant;Paraguay;2022;643
03 Alicante/Alacant;Paraguay;2021;232
03 Alicante/Alacant;Perú;2022;844
03 Alicante/Alacant;Perú;2021;398
03 Alicante/Alacant;Uruguay;2022;367
03 Alicante/Alacant;Uruguay;2021;293
03 Alicante/Alacant;Venezuela;2022;2.783
03 Alicante/Alacant;Venezuela;2021;1.192
03 Alicante/Alacant;Otro país de Sudamérica;2022;1
03 Alicante/Alacant;Otro país de Sudamérica;2021;2
03 Alicante/Alacant;De Asia;2022;2.478
03 Alicante/Alacant;De Asia;2021;2.496
03 Alicante/Alacant;Bangladesh;2022;33
03 Alicante/Alacant;Bangladesh;2021;32
03 Alicante/Alacant;China;2022;563
03 Alicante/Alacant;China;2021;770
03 Alicante/Alacant;Filipinas;2022;65
03 Alicante/Alacant;Filipinas;2021;47
03 Alicante/Alacant;India;2022;399
03 Alicante/Alacant;India;2021;267
03 Alicante/Alacant;Pakistán;2022;569
03 Alicante/Alacant;Pakistán;2021;660
03 Alicante/Alacant;Otro país de Asia;2022;849
03 Alicante/Alacant;Otro país de Asia;2021;720
03 Alicante/Alacant;De Oceanía;2022;65
03 Alicante/Alacant;De Oceanía;2021;41
03 Alicante/Alacant;Apátridas;2022;35
03 Alicante/Alacant;Apátridas;2021;28
12 Castellón/Castelló;Total;2022;18.338
12 Castellón/Castelló;Total;2021;10.931
12 Castellón/Castelló;Española;2022;1.567
12 Castellón/Castelló;Española;2021;1.442
12 Castellón/Castelló;UE27_2020 sin España;2022;3.813
12 Castellón/Castelló;UE27_2020 sin España;2021;3.388
12 Castellón/Castelló;Bélgica;2022;75
12 Castellón/Castelló;Bélgica;2021;69
12 Castellón/Castelló;Bulgaria;2022;98
12 Castellón/Castelló;Bulgaria;2021;98
12 Castellón/Castelló;Dinamarca;2022;2
12 Castellón/Castelló;Dinamarca;2021;3
12 Castellón/Castelló;Finlandia;2022;2
12 Castellón/Castelló;Finlandia;2021;2
12 Castellón/Castelló;Francia;2022;234
12 Castellón/Castelló;Francia;2021;287
12 Castellón/Castelló;Irlanda;2022;22
12 Castellón/Castelló;Irlanda;2021;33
12 Castellón/Castelló;Italia;2022;420
12 Castellón/Castelló;Italia;2021;302
12 Castellón/Castelló;Países Bajos;2022;80
12 Castellón/Castelló;Países Bajos;2021;69
12 Castellón/Castelló;Polonia;2022;60
12 Castellón/Castelló;Polonia;2021;51
12 Castellón/Castelló;Portugal;2022;74
12 Castellón/Castelló;Portugal;2021;73
12 Castellón/Castelló;Alemania;2022;188
12 Castellón/Castelló;Alemania;2021;201
12 Castellón/Castelló;Rumanía;2022;2.403
12 Castellón/Castelló;Rumanía;2021;2.073
12 Castellón/Castelló;Suecia;2022;24
12 Castellón/Castelló;Suecia;2021;17
12 Castellón/Castelló;Lituania;2022;29
12 Castellón/Castelló;Lituania;2021;27
12 Castellón/Castelló;Otro país de la Unión Europea sin España;2022;102
12 Castellón/Castelló;Otro país de la Unión Europea sin España;2021;83
12 Castellón/Castelló;Europa menos UE27_2020;2022;2.460
12 Castellón/Castelló;Europa menos UE27_2020;2021;580
12 Castellón/Castelló;Noruega;2022;5
12 Castellón/Castelló;Noruega;2021;3
12 Castellón/Castelló;Reino Unido;2022;97
12 Castellón/Castelló;Reino Unido;2021;172
12 Castellón/Castelló;Suiza;2022;24
12 Castellón/Castelló;Suiza;2021;44
12 Castellón/Castelló;Ucrania;2022;1.939
12 Castellón/Castelló;Ucrania;2021;114
12 Castellón/Castelló;Moldavia;2022;69
12 Castellón/Castelló;Moldavia;2021;57
12 Castellón/Castelló;Rusia;2022;222
12 Castellón/Castelló;Rusia;2021;130
12 Castellón/Castelló;Otro país del resto de Europa;2022;104
12 Castellón/Castelló;Otro país del resto de Europa;2021;60
12 Castellón/Castelló;De Africa;2022;2.905
12 Castellón/Castelló;De Africa;2021;2.261
12 Castellón/Castelló;Argelia;2022;312
12 Castellón/Castelló;Argelia;2021;202
12 Castellón/Castelló;Gambia;2022;3
12 Castellón/Castelló;Gambia;2021;5
12 Castellón/Castelló;Ghana;2022;8
12 Castellón/Castelló;Ghana;2021;4
12 Castellón/Castelló;Guinea;2022;10
12 Castellón/Castelló;Guinea;2021;6
12 Castellón/Castelló;Guinea Ecuatorial;2022;14
12 Castellón/Castelló;Guinea Ecuatorial;2021;7
12 Castellón/Castelló;Mali;2022;20
12 Castellón/Castelló;Mali;2021;19
12 Castellón/Castelló;Marruecos;2022;2.338
12 Castellón/Castelló;Marruecos;2021;1.842
12 Castellón/Castelló;Mauritania;2022;11
12 Castellón/Castelló;Mauritania;2021;16
12 Castellón/Castelló;Nigeria;2022;28
12 Castellón/Castelló;Nigeria;2021;38
12 Castellón/Castelló;Senegal;2022;81
12 Castellón/Castelló;Senegal;2021;79
12 Castellón/Castelló;Otro país de África;2022;80
12 Castellón/Castelló;Otro país de África;2021;43
12 Castellón/Castelló;América del Norte;2022;221
12 Castellón/Castelló;América del Norte;2021;173
12 Castellón/Castelló;Estados Unidos de América;2022;152
12 Castellón/Castelló;Estados Unidos de América;2021;117
12 Castellón/Castelló;México;2022;55
12 Castellón/Castelló;México;2021;42
12 Castellón/Castelló;Canadá;2022;14
12 Castellón/Castelló;Canadá;2021;14
12 Castellón/Castelló;De Centro América y Caribe;2022;726
12 Castellón/Castelló;De Centro América y Caribe;2021;349
12 Castellón/Castelló;Cuba;2022;193
12 Castellón/Castelló;Cuba;2021;97
12 Castellón/Castelló;Honduras;2022;352
12 Castellón/Castelló;Honduras;2021;148
12 Castellón/Castelló;Nicaragua;2022;70
12 Castellón/Castelló;Nicaragua;2021;27
12 Castellón/Castelló;República Dominicana;2022;28
12 Castellón/Castelló;República Dominicana;2021;36
12 Castellón/Castelló;Otro país de Centro América y Caribe;2022;83
12 Castellón/Castelló;Otro país de Centro América y Caribe;2021;41
12 Castellón/Castelló;De Sudamérica;2022;6.072
