National Total;Nationality;Periodo;Total
08 Castilla - La Mancha;Portugal;2019;139
08 Castilla - La Mancha;Portugal;2018;123
08 Castilla - La Mancha;Portugal;2017;88
08 Castilla - La Mancha;Portugal;2016;85
08 Castilla - La Mancha;Portugal;2015;79
08 Castilla - La Mancha;Portugal;2014;86
08 Castilla - La Mancha;Portugal;2013;65
08 Castilla - La Mancha;Portugal;2012;95
08 Castilla - La Mancha;Portugal;2011;118
08 Castilla - La Mancha;Portugal;2010;113
08 Castilla - La Mancha;Portugal;2009;137
08 Castilla - La Mancha;Portugal;2008;327
08 Castilla - La Mancha;Germany;2021;48
08 Castilla - La Mancha;Germany;2020;33
08 Castilla - La Mancha;Germany;2019;46
08 Castilla - La Mancha;Germany;2018;33
08 Castilla - La Mancha;Germany;2017;35
08 Castilla - La Mancha;Germany;2016;35
08 Castilla - La Mancha;Germany;2015;36
08 Castilla - La Mancha;Germany;2014;32
08 Castilla - La Mancha;Germany;2013;31
08 Castilla - La Mancha;Germany;2012;37
08 Castilla - La Mancha;Germany;2011;47
08 Castilla - La Mancha;Germany;2010;31
08 Castilla - La Mancha;Germany;2009;46
08 Castilla - La Mancha;Germany;2008;63
08 Castilla - La Mancha;Romania;2021;1.603
08 Castilla - La Mancha;Romania;2020;1.569
08 Castilla - La Mancha;Romania;2019;2.422
08 Castilla - La Mancha;Romania;2018;2.343
08 Castilla - La Mancha;Romania;2017;2.304
08 Castilla - La Mancha;Romania;2016;2.237
08 Castilla - La Mancha;Romania;2015;2.194
08 Castilla - La Mancha;Romania;2014;2.243
08 Castilla - La Mancha;Romania;2013;1.657
08 Castilla - La Mancha;Romania;2012;2.021
08 Castilla - La Mancha;Romania;2011;4.775
08 Castilla - La Mancha;Romania;2010;5.380
08 Castilla - La Mancha;Romania;2009;4.878
08 Castilla - La Mancha;Romania;2008;6.378
08 Castilla - La Mancha;Sweden;2021;6
08 Castilla - La Mancha;Sweden;2020;9
08 Castilla - La Mancha;Sweden;2019;11
08 Castilla - La Mancha;Sweden;2018;7
08 Castilla - La Mancha;Sweden;2017;1
08 Castilla - La Mancha;Sweden;2016;5
08 Castilla - La Mancha;Sweden;2015;3
08 Castilla - La Mancha;Sweden;2014;4
08 Castilla - La Mancha;Sweden;2013;4
08 Castilla - La Mancha;Sweden;2012;6
08 Castilla - La Mancha;Sweden;2011;2
08 Castilla - La Mancha;Sweden;2010;7
08 Castilla - La Mancha;Sweden;2009;6
08 Castilla - La Mancha;Sweden;2008;6
08 Castilla - La Mancha;Lithuania;2021;2
08 Castilla - La Mancha;Lithuania;2020;3
08 Castilla - La Mancha;Lithuania;2019;10
08 Castilla - La Mancha;Lithuania;2018;10
08 Castilla - La Mancha;Lithuania;2017;7
08 Castilla - La Mancha;Lithuania;2016;15
08 Castilla - La Mancha;Lithuania;2015;7
08 Castilla - La Mancha;Lithuania;2014;17
08 Castilla - La Mancha;Lithuania;2013;4
08 Castilla - La Mancha;Lithuania;2012;9
08 Castilla - La Mancha;Lithuania;2011;17
08 Castilla - La Mancha;Lithuania;2010;23
08 Castilla - La Mancha;Lithuania;2009;35
08 Castilla - La Mancha;Lithuania;2008;14
08 Castilla - La Mancha;Other countries of the European Union;2021;41
08 Castilla - La Mancha;Other countries of the European Union;2020;26
08 Castilla - La Mancha;Other countries of the European Union;2019;42
08 Castilla - La Mancha;Other countries of the European Union;2018;48
08 Castilla - La Mancha;Other countries of the European Union;2017;23
08 Castilla - La Mancha;Other countries of the European Union;2016;41
08 Castilla - La Mancha;Other countries of the European Union;2015;33
08 Castilla - La Mancha;Other countries of the European Union;2014;34
08 Castilla - La Mancha;Other countries of the European Union;2013;33
08 Castilla - La Mancha;Other countries of the European Union;2012;41
08 Castilla - La Mancha;Other countries of the European Union;2011;41
08 Castilla - La Mancha;Other countries of the European Union;2010;34
08 Castilla - La Mancha;Other countries of the European Union;2009;33
08 Castilla - La Mancha;Other countries of the European Union;2008;63
08 Castilla - La Mancha;País de Europa menos UE27_2020;2021;298
08 Castilla - La Mancha;País de Europa menos UE27_2020;2020;313
08 Castilla - La Mancha;País de Europa menos UE27_2020;2019;""
08 Castilla - La Mancha;País de Europa menos UE27_2020;2018;""
08 Castilla - La Mancha;País de Europa menos UE27_2020;2017;""
08 Castilla - La Mancha;País de Europa menos UE27_2020;2016;""
08 Castilla - La Mancha;País de Europa menos UE27_2020;2015;""
08 Castilla - La Mancha;País de Europa menos UE27_2020;2014;""
08 Castilla - La Mancha;País de Europa menos UE27_2020;2013;""
08 Castilla - La Mancha;País de Europa menos UE27_2020;2012;""
08 Castilla - La Mancha;País de Europa menos UE27_2020;2011;""
08 Castilla - La Mancha;País de Europa menos UE27_2020;2010;""
08 Castilla - La Mancha;País de Europa menos UE27_2020;2009;""
08 Castilla - La Mancha;País de Europa menos UE27_2020;2008;""
08 Castilla - La Mancha;United Kingdom;2021;79
08 Castilla - La Mancha;United Kingdom;2020;92
08 Castilla - La Mancha;United Kingdom;2019;102
08 Castilla - La Mancha;United Kingdom;2018;90
08 Castilla - La Mancha;United Kingdom;2017;92
08 Castilla - La Mancha;United Kingdom;2016;87
08 Castilla - La Mancha;United Kingdom;2015;95
08 Castilla - La Mancha;United Kingdom;2014;86
08 Castilla - La Mancha;United Kingdom;2013;60
08 Castilla - La Mancha;United Kingdom;2012;80
08 Castilla - La Mancha;United Kingdom;2011;72
08 Castilla - La Mancha;United Kingdom;2010;46
08 Castilla - La Mancha;United Kingdom;2009;69
08 Castilla - La Mancha;United Kingdom;2008;70
08 Castilla - La Mancha;País de Europa menos UE28;2021;""
08 Castilla - La Mancha;País de Europa menos UE28;2020;""
08 Castilla - La Mancha;País de Europa menos UE28;2019;368
08 Castilla - La Mancha;País de Europa menos UE28;2018;424
08 Castilla - La Mancha;País de Europa menos UE28;2017;352
08 Castilla - La Mancha;País de Europa menos UE28;2016;322
08 Castilla - La Mancha;País de Europa menos UE28;2015;330
08 Castilla - La Mancha;País de Europa menos UE28;2014;270
08 Castilla - La Mancha;País de Europa menos UE28;2013;197
08 Castilla - La Mancha;País de Europa menos UE28;2012;231
08 Castilla - La Mancha;País de Europa menos UE28;2011;267
08 Castilla - La Mancha;País de Europa menos UE28;2010;358
08 Castilla - La Mancha;País de Europa menos UE28;2009;403
08 Castilla - La Mancha;País de Europa menos UE28;2008;616
08 Castilla - La Mancha;Norway;2021;3
08 Castilla - La Mancha;Norway;2020;5
08 Castilla - La Mancha;Norway;2019;1
08 Castilla - La Mancha;Norway;2018;4
08 Castilla - La Mancha;Norway;2017;3
08 Castilla - La Mancha;Norway;2016;1
08 Castilla - La Mancha;Norway;2015;2
08 Castilla - La Mancha;Norway;2014;""
08 Castilla - La Mancha;Norway;2013;""
08 Castilla - La Mancha;Norway;2012;3
08 Castilla - La Mancha;Norway;2011;6
08 Castilla - La Mancha;Norway;2010;3
08 Castilla - La Mancha;Norway;2009;1
08 Castilla - La Mancha;Norway;2008;3
08 Castilla - La Mancha;Switzerland;2021;8
08 Castilla - La Mancha;Switzerland;2020;7
08 Castilla - La Mancha;Switzerland;2019;3
08 Castilla - La Mancha;Switzerland;2018;11
08 Castilla - La Mancha;Switzerland;2017;5
08 Castilla - La Mancha;Switzerland;2016;5
08 Castilla - La Mancha;Switzerland;2015;4
08 Castilla - La Mancha;Switzerland;2014;8
08 Castilla - La Mancha;Switzerland;2013;9
08 Castilla - La Mancha;Switzerland;2012;7
08 Castilla - La Mancha;Switzerland;2011;9
08 Castilla - La Mancha;Switzerland;2010;4
08 Castilla - La Mancha;Switzerland;2009;5
08 Castilla - La Mancha;Switzerland;2008;5
08 Castilla - La Mancha;Ukraine;2021;79
08 Castilla - La Mancha;Ukraine;2020;90
08 Castilla - La Mancha;Ukraine;2019;173
08 Castilla - La Mancha;Ukraine;2018;202
08 Castilla - La Mancha;Ukraine;2017;200
08 Castilla - La Mancha;Ukraine;2016;174
08 Castilla - La Mancha;Ukraine;2015;214
08 Castilla - La Mancha;Ukraine;2014;144
08 Castilla - La Mancha;Ukraine;2013;84
08 Castilla - La Mancha;Ukraine;2012;113
08 Castilla - La Mancha;Ukraine;2011;156
08 Castilla - La Mancha;Ukraine;2010;220
08 Castilla - La Mancha;Ukraine;2009;232
08 Castilla - La Mancha;Ukraine;2008;344
08 Castilla - La Mancha;Moldova;2021;36
08 Castilla - La Mancha;Moldova;2020;31
08 Castilla - La Mancha;Moldova;2019;33
08 Castilla - La Mancha;Moldova;2018;42
08 Castilla - La Mancha;Moldova;2017;28
08 Castilla - La Mancha;Moldova;2016;33
08 Castilla - La Mancha;Moldova;2015;33
08 Castilla - La Mancha;Moldova;2014;31
08 Castilla - La Mancha;Moldova;2013;21
08 Castilla - La Mancha;Moldova;2012;23
08 Castilla - La Mancha;Moldova;2011;26
08 Castilla - La Mancha;Moldova;2010;32
08 Castilla - La Mancha;Moldova;2009;61
08 Castilla - La Mancha;Moldova;2008;102
08 Castilla - La Mancha;Russia;2021;36
08 Castilla - La Mancha;Russia;2020;29
08 Castilla - La Mancha;Russia;2019;58
08 Castilla - La Mancha;Russia;2018;44
08 Castilla - La Mancha;Russia;2017;43
08 Castilla - La Mancha;Russia;2016;36
08 Castilla - La Mancha;Russia;2015;36
08 Castilla - La Mancha;Russia;2014;39
08 Castilla - La Mancha;Russia;2013;32
08 Castilla - La Mancha;Russia;2012;34
08 Castilla - La Mancha;Russia;2011;35
08 Castilla - La Mancha;Russia;2010;58
08 Castilla - La Mancha;Russia;2009;53
08 Castilla - La Mancha;Russia;2008;42
08 Castilla - La Mancha;Other European Union countries;2021;57
08 Castilla - La Mancha;Other European Union countries;2020;59
08 Castilla - La Mancha;Other European Union countries;2019;100
08 Castilla - La Mancha;Other European Union countries;2018;121
08 Castilla - La Mancha;Other European Union countries;2017;73
08 Castilla - La Mancha;Other European Union countries;2016;74
08 Castilla - La Mancha;Other European Union countries;2015;41
08 Castilla - La Mancha;Other European Union countries;2014;48
08 Castilla - La Mancha;Other European Union countries;2013;51
08 Castilla - La Mancha;Other European Union countries;2012;51
08 Castilla - La Mancha;Other European Union countries;2011;34
08 Castilla - La Mancha;Other European Union countries;2010;40
08 Castilla - La Mancha;Other European Union countries;2009;51
08 Castilla - La Mancha;Other European Union countries;2008;120
08 Castilla - La Mancha;De Africa;2021;4.616
08 Castilla - La Mancha;De Africa;2020;3.116
08 Castilla - La Mancha;De Africa;2019;4.784
08 Castilla - La Mancha;De Africa;2018;3.756
08 Castilla - La Mancha;De Africa;2017;2.398
08 Castilla - La Mancha;De Africa;2016;1.715
08 Castilla - La Mancha;De Africa;2015;1.487
08 Castilla - La Mancha;De Africa;2014;1.268
08 Castilla - La Mancha;De Africa;2013;1.233
08 Castilla - La Mancha;De Africa;2012;1.445
08 Castilla - La Mancha;De Africa;2011;1.649
08 Castilla - La Mancha;De Africa;2010;1.929
08 Castilla - La Mancha;De Africa;2009;3.247
08 Castilla - La Mancha;De Africa;2008;5.510
08 Castilla - La Mancha;Algeria;2021;161
08 Castilla - La Mancha;Algeria;2020;103
08 Castilla - La Mancha;Algeria;2019;154
08 Castilla - La Mancha;Algeria;2018;166
08 Castilla - La Mancha;Algeria;2017;132
08 Castilla - La Mancha;Algeria;2016;107
08 Castilla - La Mancha;Algeria;2015;87
08 Castilla - La Mancha;Algeria;2014;96
08 Castilla - La Mancha;Algeria;2013;93
08 Castilla - La Mancha;Algeria;2012;101
08 Castilla - La Mancha;Algeria;2011;110
08 Castilla - La Mancha;Algeria;2010;113
08 Castilla - La Mancha;Algeria;2009;212
08 Castilla - La Mancha;Algeria;2008;331
08 Castilla - La Mancha;The Gambia;2021;58
08 Castilla - La Mancha;The Gambia;2020;37
08 Castilla - La Mancha;The Gambia;2019;48
08 Castilla - La Mancha;The Gambia;2018;46
08 Castilla - La Mancha;The Gambia;2017;22
08 Castilla - La Mancha;The Gambia;2016;21
08 Castilla - La Mancha;The Gambia;2015;11
08 Castilla - La Mancha;The Gambia;2014;9
08 Castilla - La Mancha;The Gambia;2013;7
08 Castilla - La Mancha;The Gambia;2012;1
08 Castilla - La Mancha;The Gambia;2011;3
08 Castilla - La Mancha;The Gambia;2010;3
08 Castilla - La Mancha;The Gambia;2009;7
08 Castilla - La Mancha;The Gambia;2008;15
08 Castilla - La Mancha;GHANA;2021;18
08 Castilla - La Mancha;GHANA;2020;18
08 Castilla - La Mancha;GHANA;2019;21
08 Castilla - La Mancha;GHANA;2018;9
08 Castilla - La Mancha;GHANA;2017;17
08 Castilla - La Mancha;GHANA;2016;19
08 Castilla - La Mancha;GHANA;2015;6
08 Castilla - La Mancha;GHANA;2014;9
08 Castilla - La Mancha;GHANA;2013;16
08 Castilla - La Mancha;GHANA;2012;13
08 Castilla - La Mancha;GHANA;2011;6
08 Castilla - La Mancha;GHANA;2010;16
08 Castilla - La Mancha;GHANA;2009;9
08 Castilla - La Mancha;GHANA;2008;11
08 Castilla - La Mancha;Guinea;2021;47
08 Castilla - La Mancha;Guinea;2020;25
08 Castilla - La Mancha;Guinea;2019;58
08 Castilla - La Mancha;Guinea;2018;59
08 Castilla - La Mancha;Guinea;2017;30
08 Castilla - La Mancha;Guinea;2016;19
08 Castilla - La Mancha;Guinea;2015;14
08 Castilla - La Mancha;Guinea;2014;22
08 Castilla - La Mancha;Guinea;2013;14
08 Castilla - La Mancha;Guinea;2012;12
08 Castilla - La Mancha;Guinea;2011;12
08 Castilla - La Mancha;Guinea;2010;15
08 Castilla - La Mancha;Guinea;2009;38
08 Castilla - La Mancha;Guinea;2008;43
08 Castilla - La Mancha;Equatorial Guinea;2021;102
08 Castilla - La Mancha;Equatorial Guinea;2020;56
08 Castilla - La Mancha;Equatorial Guinea;2019;95
08 Castilla - La Mancha;Equatorial Guinea;2018;92
08 Castilla - La Mancha;Equatorial Guinea;2017;105
08 Castilla - La Mancha;Equatorial Guinea;2016;86
08 Castilla - La Mancha;Equatorial Guinea;2015;56
08 Castilla - La Mancha;Equatorial Guinea;2014;53
08 Castilla - La Mancha;Equatorial Guinea;2013;44
08 Castilla - La Mancha;Equatorial Guinea;2012;41
08 Castilla - La Mancha;Equatorial Guinea;2011;66
08 Castilla - La Mancha;Equatorial Guinea;2010;48
08 Castilla - La Mancha;Equatorial Guinea;2009;38
08 Castilla - La Mancha;Equatorial Guinea;2008;58
08 Castilla - La Mancha;Mali;2021;255
08 Castilla - La Mancha;Mali;2020;150
08 Castilla - La Mancha;Mali;2019;203
08 Castilla - La Mancha;Mali;2018;120
08 Castilla - La Mancha;Mali;2017;61
08 Castilla - La Mancha;Mali;2016;45
08 Castilla - La Mancha;Mali;2015;52
08 Castilla - La Mancha;Mali;2014;77
08 Castilla - La Mancha;Mali;2013;48
08 Castilla - La Mancha;Mali;2012;53
08 Castilla - La Mancha;Mali;2011;56
08 Castilla - La Mancha;Mali;2010;78
08 Castilla - La Mancha;Mali;2009;136
08 Castilla - La Mancha;Mali;2008;254
08 Castilla - La Mancha;Morocco;2021;3.458
08 Castilla - La Mancha;Morocco;2020;2.403
08 Castilla - La Mancha;Morocco;2019;3.701
08 Castilla - La Mancha;Morocco;2018;2.850
08 Castilla - La Mancha;Morocco;2017;1.740
08 Castilla - La Mancha;Morocco;2016;1.187
08 Castilla - La Mancha;Morocco;2015;1.007
08 Castilla - La Mancha;Morocco;2014;774
08 Castilla - La Mancha;Morocco;2013;771
08 Castilla - La Mancha;Morocco;2012;967
08 Castilla - La Mancha;Morocco;2011;1.186
08 Castilla - La Mancha;Morocco;2010;1.456
08 Castilla - La Mancha;Morocco;2009;2.519
08 Castilla - La Mancha;Morocco;2008;4.292
08 Castilla - La Mancha;Mauritania;2021;47
08 Castilla - La Mancha;Mauritania;2020;18
08 Castilla - La Mancha;Mauritania;2019;26
08 Castilla - La Mancha;Mauritania;2018;34
08 Castilla - La Mancha;Mauritania;2017;6
08 Castilla - La Mancha;Mauritania;2016;22
08 Castilla - La Mancha;Mauritania;2015;17
08 Castilla - La Mancha;Mauritania;2014;17
08 Castilla - La Mancha;Mauritania;2013;11
08 Castilla - La Mancha;Mauritania;2012;18
08 Castilla - La Mancha;Mauritania;2011;5
08 Castilla - La Mancha;Mauritania;2010;19
08 Castilla - La Mancha;Mauritania;2009;24
08 Castilla - La Mancha;Mauritania;2008;67
08 Castilla - La Mancha;Nigeria;2021;38
08 Castilla - La Mancha;Nigeria;2020;31
08 Castilla - La Mancha;Nigeria;2019;55
08 Castilla - La Mancha;Nigeria;2018;58
08 Castilla - La Mancha;Nigeria;2017;46
08 Castilla - La Mancha;Nigeria;2016;47
08 Castilla - La Mancha;Nigeria;2015;50
08 Castilla - La Mancha;Nigeria;2014;51
08 Castilla - La Mancha;Nigeria;2013;79
08 Castilla - La Mancha;Nigeria;2012;70
08 Castilla - La Mancha;Nigeria;2011;81
08 Castilla - La Mancha;Nigeria;2010;52
08 Castilla - La Mancha;Nigeria;2009;52
08 Castilla - La Mancha;Nigeria;2008;89
08 Castilla - La Mancha;Senegal;2021;266
08 Castilla - La Mancha;Senegal;2020;159
08 Castilla - La Mancha;Senegal;2019;217
08 Castilla - La Mancha;Senegal;2018;149
08 Castilla - La Mancha;Senegal;2017;82
08 Castilla - La Mancha;Senegal;2016;66
08 Castilla - La Mancha;Senegal;2015;71
08 Castilla - La Mancha;Senegal;2014;55
08 Castilla - La Mancha;Senegal;2013;48
08 Castilla - La Mancha;Senegal;2012;55
08 Castilla - La Mancha;Senegal;2011;43
08 Castilla - La Mancha;Senegal;2010;65
08 Castilla - La Mancha;Senegal;2009;110
08 Castilla - La Mancha;Senegal;2008;194
08 Castilla - La Mancha;Other African countries;2021;166
08 Castilla - La Mancha;Other African countries;2020;116
08 Castilla - La Mancha;Other African countries;2019;206
08 Castilla - La Mancha;Other African countries;2018;173
08 Castilla - La Mancha;Other African countries;2017;157
08 Castilla - La Mancha;Other African countries;2016;97
08 Castilla - La Mancha;Other African countries;2015;114
08 Castilla - La Mancha;Other African countries;2014;104
08 Castilla - La Mancha;Other African countries;2013;103
08 Castilla - La Mancha;Other African countries;2012;115
08 Castilla - La Mancha;Other African countries;2011;81
08 Castilla - La Mancha;Other African countries;2010;62
08 Castilla - La Mancha;Other African countries;2009;101
08 Castilla - La Mancha;Other African countries;2008;155
08 Castilla - La Mancha;De América del Norte;2021;271
08 Castilla - La Mancha;De América del Norte;2020;146
08 Castilla - La Mancha;De América del Norte;2019;273
08 Castilla - La Mancha;De América del Norte;2018;248
08 Castilla - La Mancha;De América del Norte;2017;207
08 Castilla - La Mancha;De América del Norte;2016;201
08 Castilla - La Mancha;De América del Norte;2015;142
08 Castilla - La Mancha;De América del Norte;2014;144
08 Castilla - La Mancha;De América del Norte;2013;125
08 Castilla - La Mancha;De América del Norte;2012;134
08 Castilla - La Mancha;De América del Norte;2011;181
08 Castilla - La Mancha;De América del Norte;2010;141
08 Castilla - La Mancha;De América del Norte;2009;180
08 Castilla - La Mancha;De América del Norte;2008;148
08 Castilla - La Mancha;United States of America;2021;106
08 Castilla - La Mancha;United States of America;2020;60
08 Castilla - La Mancha;United States of America;2019;107
08 Castilla - La Mancha;United States of America;2018;107
08 Castilla - La Mancha;United States of America;2017;107
08 Castilla - La Mancha;United States of America;2016;108
08 Castilla - La Mancha;United States of America;2015;65
08 Castilla - La Mancha;United States of America;2014;68
08 Castilla - La Mancha;United States of America;2013;43
08 Castilla - La Mancha;United States of America;2012;55
08 Castilla - La Mancha;United States of America;2011;106
08 Castilla - La Mancha;United States of America;2010;55
08 Castilla - La Mancha;United States of America;2009;75
08 Castilla - La Mancha;United States of America;2008;62
08 Castilla - La Mancha;Mexico;2021;160
08 Castilla - La Mancha;Mexico;2020;82
08 Castilla - La Mancha;Mexico;2019;160
08 Castilla - La Mancha;Mexico;2018;132
08 Castilla - La Mancha;Mexico;2017;90
08 Castilla - La Mancha;Mexico;2016;87
08 Castilla - La Mancha;Mexico;2015;74
08 Castilla - La Mancha;Mexico;2014;72
08 Castilla - La Mancha;Mexico;2013;75
08 Castilla - La Mancha;Mexico;2012;71
08 Castilla - La Mancha;Mexico;2011;71
08 Castilla - La Mancha;Mexico;2010;76
08 Castilla - La Mancha;Mexico;2009;102
08 Castilla - La Mancha;Mexico;2008;85
08 Castilla - La Mancha;Canada;2021;5
08 Castilla - La Mancha;Canada;2020;4
08 Castilla - La Mancha;Canada;2019;6
08 Castilla - La Mancha;Canada;2018;9
08 Castilla - La Mancha;Canada;2017;10
08 Castilla - La Mancha;Canada;2016;6
08 Castilla - La Mancha;Canada;2015;4
08 Castilla - La Mancha;Canada;2014;4
08 Castilla - La Mancha;Canada;2013;7
08 Castilla - La Mancha;Canada;2012;8
08 Castilla - La Mancha;Canada;2011;4
08 Castilla - La Mancha;Canada;2010;9
08 Castilla - La Mancha;Canada;2009;3
08 Castilla - La Mancha;Canada;2008;1
08 Castilla - La Mancha;De Centro América y Caribe;2021;1.044
08 Castilla - La Mancha;De Centro América y Caribe;2020;1.322
08 Castilla - La Mancha;De Centro América y Caribe;2019;2.304
08 Castilla - La Mancha;De Centro América y Caribe;2018;1.530
08 Castilla - La Mancha;De Centro América y Caribe;2017;970
08 Castilla - La Mancha;De Centro América y Caribe;2016;647
08 Castilla - La Mancha;De Centro América y Caribe;2015;481
08 Castilla - La Mancha;De Centro América y Caribe;2014;531
08 Castilla - La Mancha;De Centro América y Caribe;2013;582
08 Castilla - La Mancha;De Centro América y Caribe;2012;677
08 Castilla - La Mancha;De Centro América y Caribe;2011;839
08 Castilla - La Mancha;De Centro América y Caribe;2010;674
08 Castilla - La Mancha;De Centro América y Caribe;2009;733
08 Castilla - La Mancha;De Centro América y Caribe;2008;1.044
08 Castilla - La Mancha;Cuba;2021;241
08 Castilla - La Mancha;Cuba;2020;160
08 Castilla - La Mancha;Cuba;2019;331
08 Castilla - La Mancha;Cuba;2018;225
08 Castilla - La Mancha;Cuba;2017;151
08 Castilla - La Mancha;Cuba;2016;118
08 Castilla - La Mancha;Cuba;2015;88
08 Castilla - La Mancha;Cuba;2014;95
08 Castilla - La Mancha;Cuba;2013;122
08 Castilla - La Mancha;Cuba;2012;126
08 Castilla - La Mancha;Cuba;2011;214
08 Castilla - La Mancha;Cuba;2010;175
08 Castilla - La Mancha;Cuba;2009;149
08 Castilla - La Mancha;Cuba;2008;221
08 Castilla - La Mancha;Honduras;2021;267
08 Castilla - La Mancha;Honduras;2020;458
08 Castilla - La Mancha;Honduras;2019;697
08 Castilla - La Mancha;Honduras;2018;424
08 Castilla - La Mancha;Honduras;2017;246
08 Castilla - La Mancha;Honduras;2016;132
08 Castilla - La Mancha;Honduras;2015;95
08 Castilla - La Mancha;Honduras;2014;83
08 Castilla - La Mancha;Honduras;2013;82
08 Castilla - La Mancha;Honduras;2012;59
08 Castilla - La Mancha;Honduras;2011;75
08 Castilla - La Mancha;Honduras;2010;80
08 Castilla - La Mancha;Honduras;2009;45
08 Castilla - La Mancha;Honduras;2008;76
08 Castilla - La Mancha;Nicaragua;2021;121
08 Castilla - La Mancha;Nicaragua;2020;303
08 Castilla - La Mancha;Nicaragua;2019;602
08 Castilla - La Mancha;Nicaragua;2018;395
08 Castilla - La Mancha;Nicaragua;2017;168
08 Castilla - La Mancha;Nicaragua;2016;96
08 Castilla - La Mancha;Nicaragua;2015;76
08 Castilla - La Mancha;Nicaragua;2014;98
08 Castilla - La Mancha;Nicaragua;2013;68
08 Castilla - La Mancha;Nicaragua;2012;94
08 Castilla - La Mancha;Nicaragua;2011;152
08 Castilla - La Mancha;Nicaragua;2010;143
08 Castilla - La Mancha;Nicaragua;2009;117
08 Castilla - La Mancha;Nicaragua;2008;154
08 Castilla - La Mancha;Dominican Republic;2021;230
08 Castilla - La Mancha;Dominican Republic;2020;153
08 Castilla - La Mancha;Dominican Republic;2019;264
08 Castilla - La Mancha;Dominican Republic;2018;263
08 Castilla - La Mancha;Dominican Republic;2017;267
08 Castilla - La Mancha;Dominican Republic;2016;208
08 Castilla - La Mancha;Dominican Republic;2015;166
08 Castilla - La Mancha;Dominican Republic;2014;193
08 Castilla - La Mancha;Dominican Republic;2013;260
08 Castilla - La Mancha;Dominican Republic;2012;340
08 Castilla - La Mancha;Dominican Republic;2011;343
08 Castilla - La Mancha;Dominican Republic;2010;214
08 Castilla - La Mancha;Dominican Republic;2009;358
08 Castilla - La Mancha;Dominican Republic;2008;521
08 Castilla - La Mancha;Other Central American and Caribbean countries;2021;185
08 Castilla - La Mancha;Other Central American and Caribbean countries;2020;248
08 Castilla - La Mancha;Other Central American and Caribbean countries;2019;410
08 Castilla - La Mancha;Other Central American and Caribbean countries;2018;223
08 Castilla - La Mancha;Other Central American and Caribbean countries;2017;138
08 Castilla - La Mancha;Other Central American and Caribbean countries;2016;93
08 Castilla - La Mancha;Other Central American and Caribbean countries;2015;56
08 Castilla - La Mancha;Other Central American and Caribbean countries;2014;62
08 Castilla - La Mancha;Other Central American and Caribbean countries;2013;51
08 Castilla - La Mancha;Other Central American and Caribbean countries;2012;58
08 Castilla - La Mancha;Other Central American and Caribbean countries;2011;55
08 Castilla - La Mancha;Other Central American and Caribbean countries;2010;63
08 Castilla - La Mancha;Other Central American and Caribbean countries;2009;63
08 Castilla - La Mancha;Other Central American and Caribbean countries;2008;71
08 Castilla - La Mancha;De Sudamérica;2021;4.150
08 Castilla - La Mancha;De Sudamérica;2020;5.290
08 Castilla - La Mancha;De Sudamérica;2019;8.314
08 Castilla - La Mancha;De Sudamérica;2018;5.924
08 Castilla - La Mancha;De Sudamérica;2017;3.685
08 Castilla - La Mancha;De Sudamérica;2016;2.298
08 Castilla - La Mancha;De Sudamérica;2015;1.265
08 Castilla - La Mancha;De Sudamérica;2014;1.180
08 Castilla - La Mancha;De Sudamérica;2013;1.183
08 Castilla - La Mancha;De Sudamérica;2012;1.383
08 Castilla - La Mancha;De Sudamérica;2011;2.141
08 Castilla - La Mancha;De Sudamérica;2010;2.395
08 Castilla - La Mancha;De Sudamérica;2009;3.427
08 Castilla - La Mancha;De Sudamérica;2008;6.223
08 Castilla - La Mancha;Argentina;2021;210
08 Castilla - La Mancha;Argentina;2020;201
08 Castilla - La Mancha;Argentina;2019;315
08 Castilla - La Mancha;Argentina;2018;200
08 Castilla - La Mancha;Argentina;2017;160
08 Castilla - La Mancha;Argentina;2016;90
08 Castilla - La Mancha;Argentina;2015;81
08 Castilla - La Mancha;Argentina;2014;87
08 Castilla - La Mancha;Argentina;2013;75
08 Castilla - La Mancha;Argentina;2012;62
08 Castilla - La Mancha;Argentina;2011;127
08 Castilla - La Mancha;Argentina;2010;99
08 Castilla - La Mancha;Argentina;2009;162
08 Castilla - La Mancha;Argentina;2008;329
08 Castilla - La Mancha;Bolivia;2021;124
08 Castilla - La Mancha;Bolivia;2020;94
08 Castilla - La Mancha;Bolivia;2019;186
08 Castilla - La Mancha;Bolivia;2018;158
08 Castilla - La Mancha;Bolivia;2017;150
08 Castilla - La Mancha;Bolivia;2016;158
08 Castilla - La Mancha;Bolivia;2015;132
08 Castilla - La Mancha;Bolivia;2014;142
08 Castilla - La Mancha;Bolivia;2013;141
08 Castilla - La Mancha;Bolivia;2012;158
08 Castilla - La Mancha;Bolivia;2011;293
08 Castilla - La Mancha;Bolivia;2010;281
08 Castilla - La Mancha;Bolivia;2009;343
08 Castilla - La Mancha;Bolivia;2008;486
08 Castilla - La Mancha;Brazil;2021;159
08 Castilla - La Mancha;Brazil;2020;212
08 Castilla - La Mancha;Brazil;2019;377
08 Castilla - La Mancha;Brazil;2018;360
08 Castilla - La Mancha;Brazil;2017;248
08 Castilla - La Mancha;Brazil;2016;158
08 Castilla - La Mancha;Brazil;2015;122
08 Castilla - La Mancha;Brazil;2014;112
08 Castilla - La Mancha;Brazil;2013;84
08 Castilla - La Mancha;Brazil;2012;85
