National Total;Nationality;Periodo;Total
National Total;Mali;2011;1.087
National Total;Mali;2010;1.312
National Total;Mali;2009;2.099
National Total;Mali;2008;3.504
National Total;Morocco;2021;59.089
National Total;Morocco;2020;44.940
National Total;Morocco;2019;72.866
National Total;Morocco;2018;60.935
National Total;Morocco;2017;39.841
National Total;Morocco;2016;29.712
National Total;Morocco;2015;23.831
National Total;Morocco;2014;19.994
National Total;Morocco;2013;20.516
National Total;Morocco;2012;22.444
National Total;Morocco;2011;27.978
National Total;Morocco;2010;30.169
National Total;Morocco;2009;43.178
National Total;Morocco;2008;71.761
National Total;Mauritania;2021;1.155
National Total;Mauritania;2020;529
National Total;Mauritania;2019;815
National Total;Mauritania;2018;684
National Total;Mauritania;2017;455
National Total;Mauritania;2016;720
National Total;Mauritania;2015;690
National Total;Mauritania;2014;549
National Total;Mauritania;2013;489
National Total;Mauritania;2012;489
National Total;Mauritania;2011;622
National Total;Mauritania;2010;672
National Total;Mauritania;2009;869
National Total;Mauritania;2008;1.612
National Total;Nigeria;2021;1.462
National Total;Nigeria;2020;1.184
National Total;Nigeria;2019;1.640
National Total;Nigeria;2018;1.656
National Total;Nigeria;2017;1.469
National Total;Nigeria;2016;1.319
National Total;Nigeria;2015;1.360
National Total;Nigeria;2014;1.361
National Total;Nigeria;2013;1.557
National Total;Nigeria;2012;1.894
National Total;Nigeria;2011;2.284
National Total;Nigeria;2010;2.511
National Total;Nigeria;2009;3.034
National Total;Nigeria;2008;4.907
National Total;Senegal;2021;7.153
National Total;Senegal;2020;5.078
National Total;Senegal;2019;7.846
National Total;Senegal;2018;6.677
National Total;Senegal;2017;4.299
National Total;Senegal;2016;3.830
National Total;Senegal;2015;3.386
National Total;Senegal;2014;2.982
National Total;Senegal;2013;3.091
National Total;Senegal;2012;2.923
National Total;Senegal;2011;3.601
National Total;Senegal;2010;3.824
National Total;Senegal;2009;7.176
National Total;Senegal;2008;10.568
National Total;Other African countries;2021;5.114
National Total;Other African countries;2020;3.338
National Total;Other African countries;2019;5.689
National Total;Other African countries;2018;4.932
National Total;Other African countries;2017;4.364
National Total;Other African countries;2016;3.839
National Total;Other African countries;2015;3.702
National Total;Other African countries;2014;3.444
National Total;Other African countries;2013;3.363
National Total;Other African countries;2012;3.412
National Total;Other African countries;2011;3.418
National Total;Other African countries;2010;3.069
National Total;Other African countries;2009;3.956
National Total;Other African countries;2008;5.130
National Total;De América del Norte;2021;15.852
National Total;De América del Norte;2020;9.950
National Total;De América del Norte;2019;16.333
National Total;De América del Norte;2018;14.530
National Total;De América del Norte;2017;13.379
National Total;De América del Norte;2016;10.498
National Total;De América del Norte;2015;10.253
