Country Code,Year,Sex,Number of residents
ROU,2002,Female,26254
ROU,2001,Female,12264
ROU,2000,Female,2893
ROU,1999,Female,1437
ROU,1998,Female,978
GBR,2022,Male,150374
GBR,2021,Male,144201
GBR,2020,Male,133579
GBR,2019,Male,126707
GBR,2018,Male,122605
GBR,2017,Male,121367
GBR,2016,Male,129064
GBR,2015,Male,142160
GBR,2014,Male,150751
GBR,2013,Male,194316
GBR,2012,Male,201289
GBR,2011,Male,197952
GBR,2010,Male,196389
GBR,2009,Male,190507
GBR,2008,Male,179459
GBR,2007,Male,160053
GBR,2006,Male,139329
GBR,2005,Male,114965
GBR,2004,Male,88290
GBR,2003,Male,80739
GBR,2002,Male,63326
GBR,2001,Male,52437
GBR,2000,Male,47935
GBR,1999,Male,42850
GBR,1998,Male,36201
GBR,2022,Female,142797
GBR,2021,Female,137923
GBR,2020,Female,129306
GBR,2019,Female,123685
GBR,2018,Female,120232
GBR,2017,Female,119418
GBR,2016,Female,127437
GBR,2015,Female,141083
GBR,2014,Female,149535
GBR,2013,Female,190863
GBR,2012,Female,196603
GBR,2011,Female,193242
GBR,2010,Female,191288
GBR,2009,Female,185196
GBR,2008,Female,173498
GBR,2007,Female,154898
GBR,2006,Female,135393
GBR,2005,Female,112222
GBR,2004,Female,86520
GBR,2003,Female,80768
GBR,2002,Female,64795
GBR,2001,Female,54888
GBR,2000,Female,51082
GBR,1999,Female,46255
GBR,1998,Female,39399
RUS,2022,Male,28057
RUS,2021,Male,26656
RUS,2020,Male,28049
RUS,2019,Male,25897
RUS,2018,Male,24288
RUS,2017,Male,23687
RUS,2016,Male,23469
RUS,2015,Male,22624
RUS,2014,Male,21289
RUS,2013,Male,19816
RUS,2012,Male,18366
RUS,2011,Male,16663
RUS,2010,Male,15702
RUS,2009,Male,15112
RUS,2008,Male,14578
RUS,2007,Male,13125
RUS,2006,Male,13645
RUS,2005,Male,12980
RUS,2004,Male,10475
RUS,2003,Male,9210
RUS,2002,Male,6833
RUS,2001,Male,4224
RUS,2000,Male,2141
RUS,1999,Male,1406
RUS,1998,Male,1046
RUS,2022,Female,54323
RUS,2021,Female,52829
RUS,2020,Female,54739
RUS,2019,Female,51818
RUS,2018,Female,49642
RUS,2017,Female,48547
RUS,2016,Female,47458
RUS,2015,Female,45763
RUS,2014,Female,43745
RUS,2013,Female,41697
RUS,2012,Female,39278
RUS,2011,Female,36503
RUS,2010,Female,34118
RUS,2009,Female,32320
RUS,2008,Female,30091
RUS,2007,Female,26673
RUS,2006,Female,26259
RUS,2005,Female,23339
RUS,2004,Female,17976
RUS,2003,Female,14538
RUS,2002,Female,9955
RUS,2001,Female,5823
RUS,2000,Female,3058
RUS,1999,Female,2010
RUS,1998,Female,1491
UKR,2022,Male,47172
UKR,2021,Male,47635
UKR,2020,Male,49142
UKR,2019,Male,47726
UKR,2018,Male,45668
UKR,2017,Male,44157
UKR,2016,Male,42670
UKR,2015,Male,38943
UKR,2014,Male,38008
UKR,2013,Male,38685
UKR,2012,Male,39114
UKR,2011,Male,38642
UKR,2010,Male,38348
UKR,2009,Male,38889
UKR,2008,Male,38288
UKR,2007,Male,34141
UKR,2006,Male,34765
UKR,2005,Male,33023
UKR,2004,Male,26808
UKR,2003,Male,21758
UKR,2002,Male,13937
UKR,2001,Male,5403
UKR,2000,Male,718
UKR,1999,Male,278
UKR,1998,Male,188
UKR,2022,Female,64271
UKR,2021,Female,64399
UKR,2020,Female,66044
UKR,2019,Female,64000
UKR,2018,Female,61319
UKR,2017,Female,58915
UKR,2016,Female,56390
UKR,2015,Female,52061
UKR,2014,Female,50586
UKR,2013,Female,50666
UKR,2012,Female,49852
UKR,2011,Female,47674
UKR,2010,Female,44965
UKR,2009,Female,43376
UKR,2008,Female,40808
UKR,2007,Female,35842
UKR,2006,Female,35128
UKR,2005,Female,32644
UKR,2004,Female,25940
UKR,2003,Female,20340
UKR,2002,Female,12341
UKR,2001,Female,4914
UKR,2000,Female,928
UKR,1999,Female,445
UKR,1998,Female,274
DZA,2022,Male,40551
DZA,2021,Male,40771
DZA,2020,Male,41652
DZA,2019,Male,39081
DZA,2018,Male,37648
DZA,2017,Male,37572
DZA,2016,Male,39086
DZA,2015,Male,39511
DZA,2014,Male,40592
DZA,2013,Male,41696
DZA,2012,Male,41794
DZA,2011,Male,41212
DZA,2010,Male,40304
DZA,2009,Male,39463
DZA,2008,Male,37046
DZA,2007,Male,33378
DZA,2006,Male,35320
DZA,2005,Male,35133
DZA,2004,Male,30293
DZA,2003,Male,28450
DZA,2002,Male,23064
DZA,2001,Male,14240
DZA,2000,Male,7922
DZA,1999,Male,5694
DZA,1998,Male,4544
DZA,2022,Female,23413
DZA,2021,Female,24183
DZA,2020,Female,25241
DZA,2019,Female,24101
DZA,2018,Female,23294
DZA,2017,Female,22893
DZA,2016,Female,23087
DZA,2015,Female,22887
DZA,2014,Female,22933
DZA,2013,Female,22342
DZA,2012,Female,21118
DZA,2011,Female,19700
DZA,2010,Female,18439
DZA,2009,Female,16738
DZA,2008,Female,14876
DZA,2007,Female,12435
DZA,2006,Female,11759
DZA,2005,Female,11145
DZA,2004,Female,9132
DZA,2003,Female,7851
DZA,2002,Female,5857
DZA,2001,Female,4025
DZA,2000,Female,2837
DZA,1999,Female,1943
DZA,1998,Female,1380
MAR,2022,Male,496190
MAR,2021,Male,490477
MAR,2020,Male,488162
MAR,2019,Male,456724
MAR,2018,Male,431571
MAR,2017,Male,420798
MAR,2016,Male,426803
MAR,2015,Male,426705
MAR,2014,Male,443312
MAR,2013,Male,458804
MAR,2012,Male,463495
MAR,2011,Male,460766
MAR,2010,Male,454752
MAR,2009,Male,443898
MAR,2008,Male,413231
MAR,2007,Male,375289
MAR,2006,Male,371941
MAR,2005,Male,340796
MAR,2004,Male,278683
MAR,2003,Male,255431
MAR,2002,Male,206151
MAR,2001,Male,153476
MAR,2000,Male,109794
MAR,1999,Male,84714
MAR,1998,Male,71253
MAR,2022,Female,387053
MAR,2021,Female,382282
MAR,2020,Female,377783
MAR,2019,Female,356863
MAR,2018,Female,338952
MAR,2017,Female,328872
MAR,2016,Female,328656
MAR,2015,Female,324178
MAR,2014,Female,331071
MAR,2013,Female,333354
MAR,2012,Female,325068
MAR,2011,Female,313229
MAR,2010,Female,299328
MAR,2009,Female,274157
MAR,2008,Female,239464
MAR,2007,Female,207634
MAR,2006,Female,191071
MAR,2005,Female,170498
MAR,2004,Female,141873
MAR,2003,Female,123548
MAR,2002,Female,101307
MAR,2001,Female,79940
MAR,2000,Female,63364
MAR,1999,Female,48287
MAR,1998,Female,39790
SEN,2022,Male,65453
SEN,2021,Male,61459
SEN,2020,Male,60269
SEN,2019,Male,55229
SEN,2018,Male,51340
SEN,2017,Male,49642
SEN,2016,Male,49040
SEN,2015,Male,48699
SEN,2014,Male,49715
SEN,2013,Male,51307
SEN,2012,Male,51626
SEN,2011,Male,52014
SEN,2010,Male,51230
SEN,2009,Male,47270
SEN,2008,Male,39130
SEN,2007,Male,30426
SEN,2006,Male,28815
SEN,2005,Male,24171
SEN,2004,Male,17280
SEN,2003,Male,15042
SEN,2002,Male,11584
SEN,2001,Male,8408
SEN,2000,Male,5631
SEN,1999,Male,4564
SEN,1998,Male,3904
SEN,2022,Female,17807
SEN,2021,Female,17091
SEN,2020,Female,16704
SEN,2019,Female,15791
SEN,2018,Female,14863
SEN,2017,Female,14190
SEN,2016,Female,13676
SEN,2015,Female,13099
SEN,2014,Female,12990
SEN,2013,Female,12858
SEN,2012,Female,12337
SEN,2011,Female,11587
