Year,Nationality code,Sex,Age group,Immigrant count,Liberal democracy index,Continent,Sub-region,Health equality,Judicial accountability,Public sector corrupt exchanges,One-sided violence_deaths,Non-state_deaths,Intrastate_deaths,Interstate_deaths,Number of residents,Political regime,Homicide Rate,Number of Turist,Spanish language,Restricciones_pandemia,Año post_pandemia
2008,RUS,Both,35 - 44,933,0.139,Europe,Rest of Europe,0.65,0.5,0.3,0,0,404,0,44669,3,12.71,44400000,0,0,0
2008,ROU,Males,45 - 54,2381,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,393381,7,1.47,44400000,0,0,0
2008,ROU,Females,25 - 34,7024,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,338425,7,1.47,44400000,0,0,0
2008,ROU,Females,15 - 24,10190,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,338425,7,1.47,44400000,0,0,0
2008,ROU,Females,0 - 14,4844,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,338425,7,1.47,44400000,0,0,0
2008,PRT,Females,All,5193,0.844,Europe,European Union,0.85,0.62,0.62,0,0,0,0,46297,7,1.17,44400000,0,0,0
2008,PRT,Males,0 - 14,849,0.844,Europe,European Union,0.85,0.62,0.62,0,0,0,0,80902,7,1.17,44400000,0,0,0
2008,PRT,Males,15 - 24,1561,0.844,Europe,European Union,0.85,0.62,0.62,0,0,0,0,80902,7,1.17,44400000,0,0,0
2008,PRT,Males,25 - 34,2860,0.844,Europe,European Union,0.85,0.62,0.62,0,0,0,0,80902,7,1.17,44400000,0,0,0
2008,PRT,Males,35 - 44,1962,0.844,Europe,European Union,0.85,0.62,0.62,0,0,0,0,80902,7,1.17,44400000,0,0,0
2008,PRT,Males,45 - 54,1125,0.844,Europe,European Union,0.85,0.62,0.62,0,0,0,0,80902,7,1.17,44400000,0,0,0
2008,PRT,Males,55 - 64,305,0.844,Europe,European Union,0.85,0.62,0.62,0,0,0,0,80902,7,1.17,44400000,0,0,0
2008,PRT,Males,65+,99,0.844,Europe,European Union,0.85,0.62,0.62,0,0,0,0,80902,7,1.17,44400000,0,0,0
2008,PRT,Males,All,8761,0.844,Europe,European Union,0.85,0.62,0.62,0,0,0,0,80902,7,1.17,44400000,0,0,0
2008,ROU,Both,0 - 14,10051,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,731806,7,1.47,44400000,0,0,0
